"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4919","HOUSE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2382580.88
"4923","HOUSE DEMOCRATIC CAMPAIGN CMTE OF PENNSYLVANIA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1013716.22
"4924","PENNSYLVANIA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",801978.36
"19712","ELECTRICAL WORKERS LOCAL 98","General Trade Unions","Labor","Electrical workers/IBEW",83.1712098235751,16.8287901764249,"#0000A8AF","#0000A8AF",270370
"4920","PENNSYLVANIA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1092567.78
"9276","UNIVERSITY CITY HOUSING CO","Education","Government Agencies/Education/Other","Schools & colleges",18.646408839779,81.353591160221,"#A30000AF","#A30000AF",144800
"4241","PA FUTURE FUND","Business Associations","General Business","Pro-business organizations",0.789889415481832,99.2101105845182,"#FF0000AF","#FF0000AF",158250
"4668855","MONTGOMERY COUNTY DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",112725.54
"20810","METROPOLITAN REGIONAL COUNCIL CARPENTERS OF PHILADELPHIA & VICINITY","General Trade Unions","Labor","Construction unions",42.7490146900752,57.2509853099248,"#290000AF","#290000AF",111640
"4771","WOLF BLOCK SCHORR & SOLIS-COHEN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",36.737156784641,63.262843215359,"#470000AF","#470000AF",126779
"4704","TRANSPORTATION CONSTRUCTION INDUSTRIES","General Contractors","Construction","Builders associations",23.168228596349,76.831771403651,"#8A0000AF","#8A0000AF",84382.8
"19982","LABORERS DISTRICT COUNCIL OF THE METROPOLITAN AREA OF PHILADELPHIA & VICINITY","General Trade Unions","Labor","Construction unions",92.1517331589274,7.8482668410726,"#0000D6AF","#0000D6AF",76450
"4242","PENNSYLVANIA INSTITUTE OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",18.3186722626344,81.6813277373656,"#A30000AF","#A30000AF",125009.06
"20261","PENNSYLVANIA STATE EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",71.0139850192182,28.9860149807818,"#00006BAF","#00006BAF",344811.11
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",90.3474903474903,9.65250965250965,"#0000CCAF","#0000CCAF",97125
"6","84 LUMBER","Building Materials & Equipment","Construction","Lumber and wood products & lumber yards",73.767526006332,11.7593848937133,"#000075AF","#0000C2AF",110550
"3518950","MIKE VEON CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",79961.61
"3203","BALLARD SPAHR ANDREWS & INGERSOLL","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",91.4634146341463,8.53658536585366,"#0000D1AF","#0000D1AF",41000
"714","COZEN OCONNOR PC","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",1.52671755725191,98.4732824427481,"#FA0000AF","#FA0000AF",32750
"12322","FRIENDS FOR SENIORS","Elderly/Social Security","Ideology/Single Issue","Elderly issues & Social Security",0.892857142857143,99.1071428571429,"#FF0000AF","#FF0000AF",28000
"4239","PENNSYLVANIA BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",42.2824302134647,57.7175697865353,"#290000AF","#290000AF",140070
"30154702","IRONWORKERS LOCAL 401","General Trade Unions","Labor","Construction unions",89.125,10.875,"#0000C7AF","#0000C7AF",40000
"1269570","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES / IUPAT","General Trade Unions","Labor","Construction unions",27.2727272727273,72.7272727272727,"#750000AF","#750000AF",35750
"4938834","FUMO FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",30054
"11088","CITIZENS FOR GOVERNMENT REFORM","Accountants","Finance, Insurance & Real Estate","Accountants",71.0097719869707,28.9902280130293,"#00006BAF","#00006BAF",76750
"644","COMCAST","Telecom Services & Equipment","Communications & Electronics","Telecommunications",39.2645684013711,60.7354315986288,"#380000AF","#380000AF",64180
"3911","KLETT LIEBER ROONEY & SCHORLING","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",34.9963020238015,65.0036979761985,"#520000AF","#520000AF",74365
"4716","PENNSYLVANIA ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",70.6072691699902,29.3927308300098,"#000066AF","#000066AF",332225
"16192","STEVENS & LEE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",22000
"2996764","EDWARD G (ED) RENDELL CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",105500
"6551","DEMOCRATIC CAMPAIGN CMTE OF PHILADELPHIA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",30450
"18874","HOSPITAL & HEALTH SYSTEM ASSOCIATION OF PENNSYLVANIA","Hospitals & Nursing Homes","Health","Hospitals",27.1392081736909,72.8607918263091,"#750000AF","#750000AF",93960
"1750647","TONY DE PAUL & SON","General Contractors","Construction","Construction, unclassified",0,100,"#FF0000AF","#FF0000AF",18000
"5551515","CAPAC","Uncoded","Uncoded","Uncoded",1.33333333333333,98.6666666666667,"#FA0000AF","#FA0000AF",18750
"3534978","PEOPLE FOR ENGLISH","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",17175
"2741","VERIZON COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",33.2583487127662,66.7416512872338,"#570000AF","#570000AF",103265.62
"1827744","BOB BRADY FOR CONGRESS","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",22000
"6762","FINANCIAL SERVICE CENTERS OF AMERICA","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",15.6544054747648,84.3455945252352,"#B30000AF","#B30000AF",29225
"5040868","FRIENDS OF BOB FLICK","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",20384.76
"3808012","PENN","Uncoded","Uncoded","Uncoded",96.6921119592875,3.30788804071247,"#0000EBAF","#0000EBAF",39300
"4270","PHILADELPHIA FUTURE PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",85,15,"#0000B3AF","#0000B3AF",50000
"4245","PENNSYLVANIA BUSINESS COUNCIL","Business Associations","General Business","Pro-business organizations",18.6223591987243,81.3776408012757,"#A30000AF","#A30000AF",81405.69
"15018","PENNSYLVANIA STATE CORRECTIONS OFFICES ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",26.0405916752666,73.9594083247334,"#7A0000AF","#7A0000AF",58140
"43672087","PARD PHILPAC","Uncoded","Uncoded","Uncoded",4.97512437810945,95.0248756218905,"#EB0000AF","#EB0000AF",15075
"11077","CITIZENS FOR A BETTER COMMONWEALTH","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",25.6261227940399,74.3738772059601,"#800000AF","#800000AF",56778
"2315","SAUL EWING","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",12.3745819397993,87.6254180602007,"#C20000AF","#C20000AF",22425
