"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"18433","RHODE ISLAND REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,94.5050404165267,"#FF0000AF","#E60000AF",45496.24
"20105","RHODE ISLAND LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",31050
"2566","INTERNATIONAL BROTHERHOOD OF TEAMSTERS / IBT","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",9750
"20889","FOOD & COMMERCIAL WORKERS LOCAL 328","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",9150
"20599","PLUMBERS & PIPEFITTERS LOCAL 51","General Trade Unions","Labor","Construction unions",67.1614934772829,32.838506522717,"#000057AF","#000057AF",11115
"20840","RHODE ISLAND CARPENTERS & JOINERS","General Trade Unions","Labor","Construction unions",97.029702970297,2.97029702970297,"#0000F0AF","#0000F0AF",5050
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",77.0992366412214,22.9007633587786,"#00008AAF","#00008AAF",17685
"8694","RHODE ISLAND BROTHERHOOD OF CORRECTIONAL OFFICERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",97.5903614457831,2.40963855421687,"#0000F0AF","#0000F0AF",20750
"8705","RHODE ISLAND MEDICAL SOCIETY","Health Professionals","Health","Physicians",91.0336239103362,8.96637608966376,"#0000D1AF","#0000D1AF",20075
"8714","RHODE ISLAND TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",97.3684210526316,2.63157894736842,"#0000F0AF","#0000F0AF",3800
"17314","PROVIDENCE CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",74.559686888454,25.440313111546,"#00007AAF","#00007AAF",12775
"3467722","AMALGAMATED TRANSIT UNION / ATU","Transportation Unions","Labor","Transportation unions",100,0,"#0000FFAF","#0000FFAF",5150
"15497","RHODE ISLAND HOUSE DEMOCRATIC LEADERSHIP","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",9608.38
"741","CVS CAREMARK","Retail Sales","General Business","Drug stores",97.5903614457831,2.40963855421687,"#0000F0AF","#0000F0AF",4150
"15496","RHODE ISLAND DENTAL ASSOCIATION","Health Professionals","Health","Dentists",92.8292046936115,7.17079530638853,"#0000D6AF","#0000D6AF",15340
"19246","RHODE ISLAND FEDERATION OF TEACHERS & HEALTH PROFESSIONALS","Public Sector Unions","Labor","Teachers unions",97.6345357776464,1.18273211117682,"#0000F0AF","#0000F5AF",16910
"8393","PARTRIDGE SNOW & HAHN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",96.6101694915254,3.38983050847458,"#0000EBAF","#0000EBAF",2950
"27744897","RI TROOPERS ASSOCIATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",11550
"20166","RHODE ISLAND AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",12515
"19916","OPERATING ENGINEERS LOCAL 57","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",4925
"9555304","WARWICK FIRE FIGHTERS LOCAL 2748","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",1770
"8692","RHODE ISLAND ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",86.5336658354115,13.4663341645885,"#0000B8AF","#0000B8AF",10025
"20248","NATIONAL EDUCATION ASSOCIATION RHODE ISLAND","Public Sector Unions","Labor","Teachers unions",95.9127836107431,2.64466942834268,"#0000E5AF","#0000F0AF",20796.55
"19713","ELECTRICAL WORKERS LOCAL 99","General Trade Unions","Labor","Electrical workers/IBEW",96.8831168831169,3.11688311688312,"#0000EBAF","#0000EBAF",9625
"9206","TILLINGHAST LICHT PERKINS SMITH & COHEN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",98.6440677966102,1.35593220338983,"#0000F5AF","#0000F5AF",7375
"9617549","BEACON MUTUAL","Uncoded","Uncoded","Uncoded",92.1348314606742,7.86516853932584,"#0000D6AF","#0000D6AF",4450
"9561731","LINCOLN REPUBLICAN TOWN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1500
"19527","RHODE ISLAND STATE ASSOCIATION OF FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",13765
"9546705","UNITED NURSES & ALLIED PROFESSIONALS","General Trade Unions","Labor","Health worker unions",94.8387096774194,0,"#0000E0AF","#0000FFAF",7750
"5770","AMICA MUTUAL INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",100,0,"#0000FFAF","#0000FFAF",2250
"2692","UNITED HEALTHCARE SERVICES","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",91.025641025641,8.97435897435897,"#0000D1AF","#0000D1AF",3900
"19345","FRATERNAL ORDER OF POLICE PROVIDENCE LODGE 3","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",3110
"5748","AMERICAN ASSOCIATION OF UNIVERSITY PROFESSORS / AAUP","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",4125
"8700","RHODE ISLAND FOOD DEALERS ASSOCIATION","Food Processing & Sales","Agriculture","Food & kindred products manufacturing",49.4252873563218,50.5747126436782,"#050000AF","#050000AF",2175
"21063","ASSOCIATED BUILDERS & CONTRACTORS RHODE ISLAND CHAPTER","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",2075
"8695","RHODE ISLAND BUILDERS ASSOCIATION","General Contractors","Construction","Builders associations",98.5074626865672,1.49253731343284,"#0000F5AF","#0000F5AF",5025
"9547580","RISA PAC RI SOCIETY ANESTHESIOLOGIST","Health Professionals","Health","Other physician specialists",100,0,"#0000FFAF","#0000FFAF",4150
"9556895","COVENTRY TEACHERS ALLIANCE","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",3300
"9561706","PROVIDENCE REPUBLICAN CITY CMTE","Party Committees","Party","Republican Party committees",0,81.25,"#FF0000AF","#A30000AF",1600
"904","EMILYS LIST","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",2500
"4283976","SEIU HEALTHCARE 1199NE","General Trade Unions","Labor","Health worker unions",100,0,"#0000FFAF","#0000FFAF",2550
"8176","NEWPORT GRAND JAI ALAI","Gambling & Casinos","General Business","Casinos, racetracks & gambling",95.6284153005464,4.37158469945355,"#0000E5AF","#0000E5AF",9150
"1713","METROPOLITAN LIFE INSURANCE","Insurance","Finance, Insurance & Real Estate","Life insurance",96,4,"#0000EBAF","#0000EBAF",1250
"8709","RHODE ISLAND SOCIETY OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",100,0,"#0000FFAF","#0000FFAF",2200
"7118","HOSPITAL ASSOCIATION OF RHODE ISLAND","Hospitals & Nursing Homes","Health","Hospitals",100,0,"#0000FFAF","#0000FFAF",4450
