"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"20105","RHODE ISLAND LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",97.5540154912352,2.44598450876478,"#0000F0AF","#0000F0AF",36795
"10936540","BLANK","Uncoded","Uncoded","Uncoded",98.639757441547,1.36024255845302,"#0000F5AF","#0000F5AF",7351.63
"20840","RHODE ISLAND CARPENTERS & JOINERS","General Trade Unions","Labor","Construction unions",98.6666666666667,0,"#0000F5AF","#0000FFAF",18750
"27744897","RI TROOPERS ASSOCIATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",7350
"17314","PROVIDENCE CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",94.3955164131305,5.6044835868695,"#0000E0AF","#0000E0AF",6245
"19974","CONNECTICUT LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",4500
"3467722","AMALGAMATED TRANSIT UNION / ATU","Transportation Unions","Labor","Transportation unions",100,0,"#0000FFAF","#0000FFAF",11950
"20476","SHEET METAL WORKERS LOCAL 71","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2900
"8694","RHODE ISLAND BROTHERHOOD OF CORRECTIONAL OFFICERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",12540
"8709","RHODE ISLAND SOCIETY OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",100,0,"#0000FFAF","#0000FFAF",3350
"1269570","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES / IUPAT","General Trade Unions","Labor","Construction unions",97.0326409495549,0,"#0000F0AF","#0000FFAF",8425
"19916","OPERATING ENGINEERS LOCAL 57","General Trade Unions","Labor","Construction unions",97.2401103955842,2.75988960441582,"#0000F0AF","#0000F0AF",10870
"20092","MASSACHUSETTS & NORTHERN NEW ENGLAND LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",4000
"8714","RHODE ISLAND TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",3625
"20599","PLUMBERS & PIPEFITTERS LOCAL 51","General Trade Unions","Labor","Construction unions",98.8826815642458,0,"#0000F5AF","#0000FFAF",8950
"9596895","SENATE DEMOCRATIC LEADERSHIP CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",12764
"18459","RHODE ISLAND SENATE DEMOCRATIC LEADERSHIP","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",17511
"19713","ELECTRICAL WORKERS LOCAL 99","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",11860
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",89.272030651341,10.727969348659,"#0000C7AF","#0000C7AF",13050
"9621263","RHODE ISLAND CABLE & TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",96.6442953020134,3.35570469798658,"#0000EBAF","#0000EBAF",2980
"8692","RHODE ISLAND ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",76.4075067024129,23.5924932975871,"#000085AF","#000085AF",9325
"8705","RHODE ISLAND MEDICAL SOCIETY","Health Professionals","Health","Physicians",72.6907630522088,27.3092369477912,"#000070AF","#000070AF",6225
"20166","RHODE ISLAND AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",10140
"5770","AMICA MUTUAL INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",81.2154696132597,18.7845303867403,"#00009EAF","#00009EAF",4525
"20889","FOOD & COMMERCIAL WORKERS LOCAL 328","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",7195
"19246","RHODE ISLAND FEDERATION OF TEACHERS & HEALTH PROFESSIONALS","Public Sector Unions","Labor","Teachers unions",92.6565874730022,7.34341252699784,"#0000D6AF","#0000D6AF",11575
"2692","UNITED HEALTHCARE SERVICES","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",100,0,"#0000FFAF","#0000FFAF",2025
"4283976","SEIU HEALTHCARE 1199NE","General Trade Unions","Labor","Health worker unions",100,0,"#0000FFAF","#0000FFAF",6125
"7174","INDEPENDENT INSURANCE AGENTS OF RHODE ISLAND","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",97.8791092258749,2.12089077412513,"#0000F0AF","#0000F0AF",4715
"1241","HINCKLEY ALLEN & SNYDER","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",2750
"8580","PROFESSIONAL & TECHNICAL ENGINEERS LOCAL 400","General Trade Unions","Labor","Other unions",100,0,"#0000FFAF","#0000FFAF",3370
"16695","UTGR INC DBA TWIN RIVER","Gambling & Casinos","General Business","Casinos, racetracks & gambling",100,0,"#0000FFAF","#0000FFAF",3250
"2566","INTERNATIONAL BROTHERHOOD OF TEAMSTERS / IBT","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",7150
"9577763","SENATE DEMOCRATS 2006","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",6186
"19122","RHODE ISLAND AFSCME COUNCIL 94","Public Sector Unions","Labor","State & local government employee unions",88.6792452830189,0,"#0000C2AF","#0000FFAF",2650
"27621780","RI GREYHOUND OWNERS ASSOCIATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1100
"28206811","RI PUBLIC EMPLOYEES EDUCATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",3095
"9617549","BEACON MUTUAL","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",2600
"9552176","AFSCME LOCAL 2881","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",955
"19526","PROVIDENCE FIRE FIGHTERS LOCAL 799","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",6020
"9561297","PROGRESSIVE LEADERSHIP FUND","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",1100
"20248","NATIONAL EDUCATION ASSOCIATION RHODE ISLAND","Public Sector Unions","Labor","Teachers unions",95.6221198156682,4.3778801843318,"#0000E5AF","#0000E5AF",10850
"19454","CRANSTON FIRE FIGHTERS LOCAL 1363","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",2250
"9580065","PAIVA-WEED FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",1900
"8176","NEWPORT GRAND JAI ALAI","Gambling & Casinos","General Business","Casinos, racetracks & gambling",100,0,"#0000FFAF","#0000FFAF",3925
"8715","RHODE ISLAND TROOPERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",1400
"9206","TILLINGHAST LICHT PERKINS SMITH & COHEN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",5150
"17312","NORTHERN RHODE ISLAND CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",96.039603960396,3.96039603960396,"#0000EBAF","#0000EBAF",2525
"19527","RHODE ISLAND STATE ASSOCIATION OF FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",97.5911906400551,2.40880935994494,"#0000F0AF","#0000F0AF",7265
"9567770","BLUE CROSS BLUE SHIELD OF RHODE ISLAND","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",86.3636363636364,13.6363636363636,"#0000B8AF","#0000B8AF",3300
"20943","STEELWORKERS DISTRICT 4","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",1000
"15496","RHODE ISLAND DENTAL ASSOCIATION","Health Professionals","Health","Dentists",89.1891891891892,10.8108108108108,"#0000C7AF","#0000C7AF",7400
"9556897","CRANSTON TEACHERS ALLIANCE","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",1700
"9564644","JOHNSTON FIRE FIGHTERS LOCAL 1950","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",900
"9556895","COVENTRY TEACHERS ALLIANCE","Public Sector Unions","Labor","Teachers unions",16.6666666666667,83.3333333333333,"#AD0000AF","#AD0000AF",900
"19397","IRONWORKERS LOCAL 37","General Trade Unions","Labor","Construction unions",98.0119284294234,1.98807157057654,"#0000F5AF","#0000F5AF",5030
"8393","PARTRIDGE SNOW & HAHN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",84.251968503937,15.748031496063,"#0000ADAF","#0000ADAF",1270
"9591789","MONTALBANO FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",4025
"9620560","BRICKLAYERS & ALLIED CRAFTWORKERS LOCAL 1 RHODE ISLAND","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",1700
"8691","RHODE ISLAND ASSOCIATION OF INSURANCE & FINANCIAL ADVISORS","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",88.7323943661972,11.2676056338028,"#0000C2AF","#0000C2AF",1775
"9546705","UNITED NURSES & ALLIED PROFESSIONALS","General Trade Unions","Labor","Health worker unions",100,0,"#0000FFAF","#0000FFAF",2600
"9618901","SENATOR ROGER BADEAU CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",1300
"6973","GREATER WOONSOCKET LABOR COUNCIL","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",1100
"18433","RHODE ISLAND REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1627.5
"9560040","LITTLE COMPTON REPUBLICAN TOWN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",700
"9558956","DD PROVIDER PAC (DEMOCRACY DATA)","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",850
"7118","HOSPITAL ASSOCIATION OF RHODE ISLAND","Hospitals & Nursing Homes","Health","Hospitals",68.6746987951807,31.3253012048193,"#00005CAF","#00005CAF",2075
"298","BANK OF AMERICA","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",100,0,"#0000FFAF","#0000FFAF",1600
"1713","METROPOLITAN LIFE INSURANCE","Insurance","Finance, Insurance & Real Estate","Life insurance",90.625,9.375,"#0000CCAF","#0000CCAF",1600
"8695","RHODE ISLAND BUILDERS ASSOCIATION","General Contractors","Construction","Builders associations",100,0,"#0000FFAF","#0000FFAF",1000
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",3450
"19060","RHODE ISLAND MORTGAGE BANKERS ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Mortgage bankers & brokers",100,0,"#0000FFAF","#0000FFAF",1050
"19637","ELECTRICAL WORKERS LOCAL 2323","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",1665
"19345","FRATERNAL ORDER OF POLICE PROVIDENCE LODGE 3","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",2300
"20961","STEELWORKERS RHODE ISLAND","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",850
"914","ENTERPRISE HOLDINGS","Automotive","Transportation","Car & truck rental agencies",100,0,"#0000FFAF","#0000FFAF",1500
"9558409","WARWICK TEACHERS LOCAL 915","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",1805
"8703","RHODE ISLAND HOSPITALITY & TOURISM ASSOCIATION","Lodging & Tourism","General Business","Lodging & tourism",100,0,"#0000FFAF","#0000FFAF",800
"9560036","RI RADIOLOGY SOCIETY","Health Professionals","Health","Other physician specialists",100,0,"#0000FFAF","#0000FFAF",1050
"9650043","RI AUTOMOBILE DEALERS","Automotive","Transportation","Auto dealers, new & used",100,0,"#0000FFAF","#0000FFAF",500
"19245","PROVIDENCE TEACHERS UNION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",1750
"19701461","RI ASSOCIATION OF REALTORS","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",500
"8693","RHODE ISLAND AUTOMOBILE DEALERS","Automotive","Transportation","Auto dealers, new & used",100,0,"#0000FFAF","#0000FFAF",650
"8700","RHODE ISLAND FOOD DEALERS ASSOCIATION","Food Processing & Sales","Agriculture","Food & kindred products manufacturing",100,0,"#0000FFAF","#0000FFAF",975
"8701","RHODE ISLAND GREYHOUND OWNERS ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",100,0,"#0000FFAF","#0000FFAF",1150
"19029","CITIZENS BANK","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",100,0,"#0000FFAF","#0000FFAF",1950
"9571495","DEFENSE COUNSEL PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",86.9565217391304,13.0434782608696,"#0000B8AF","#0000B8AF",1150
"9572597","COMMUNITY MENTAL HEALTH ASSOCIATION","Health & Welfare Policy","Ideology/Single Issue","Health & welfare policy",100,0,"#0000FFAF","#0000FFAF",1225
"40618993","RI CHIROPRACTIC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",550
"1259","HOLLAND & KNIGHT","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",1375
"9594837","FIRE CHIEFS","Public Sector Unions","Labor","Police & fire fighters unions and associations",88.8268156424581,11.1731843575419,"#0000C2AF","#0000C2AF",1790
"2741","VERIZON COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",94.2857142857143,5.71428571428571,"#0000E0AF","#0000E0AF",1750
"8078","NEW ENGLAND GAS CO","Oil & Gas","Energy & Natural Resources","Natural gas transmission & distribution",100,0,"#0000FFAF","#0000FFAF",1025
"19260","WEST WARWICK TEACHERS ALLIANCE LOCAL 1017","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",675
"27621754","RI MORTGAGE BANKERS ASSOCIATION","Uncoded","Uncoded","Uncoded",88.4615384615385,11.5384615384615,"#0000C2AF","#0000C2AF",650
"9598200","COMMITTEE TO ELECT W WALASKA","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",500
"40619001","PANNONE LOPES & DEVEREAUX LLC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",500
"9589869","RHODE ISLAND HOSPITAL UNITED NURSES & ALLIED PROFESSIONALS LOCAL 5098","General Trade Unions","Labor","Health worker unions",100,0,"#0000FFAF","#0000FFAF",375
"18932","RHODE ISLAND OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",100,0,"#0000FFAF","#0000FFAF",1100
"8519968","FRIENDS OF MARYELLEN GOODWIN","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",500
"9589881","RHODE ISLAND ASSOCIATION OF NURSE ANESTHETISTS","Health Professionals","Health","Nurses",100,0,"#0000FFAF","#0000FFAF",500
