"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4927","SENATE REPUBLICAN CAUCUS OF SOUTH CAROLINA","Party Committees","Party","Republican Party committees",0,96.551724137931,"#FF0000AF","#F00000AF",145000
"15872","SOUTH CAROLINA SENATE DEMOCRATIC CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",49000
"11901","ELECTRIC COOPERATIVES OF SOUTH CAROLINA","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",41.9394688079061,58.0605311920939,"#2E0000AF","#2E0000AF",40475
"4930","SOUTH CAROLINA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",92.3190546528804,0,"#0000D6AF","#0000FFAF",5416
"3192","SOUTH CAROLINA AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",44.5835924724537,55.4164075275463,"#1F0000AF","#1F0000AF",41467.43
"20380425","ATTORNEYS LEE EADON ISGETT POPWELL & REARDON PA","Uncoded","Uncoded","Uncoded",87.7551020408163,12.2448979591837,"#0000BDAF","#0000BDAF",12250
"7975891","PALMETTO PRIMARY CARE PHYSICIANS","Health Professionals","Health","Physicians",11.7647058823529,88.2352941176471,"#C70000AF","#C70000AF",8500
"10443","BLUE CROSS BLUE SHIELD OF SOUTH CAROLINA","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",41.4772727272727,56.25,"#2E0000AF","#240000AF",44000
"10459","BLUESTEIN NICHOLS THOMPSON & DELGADO","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",56.6265060240964,43.3734939759036,"#00001FAF","#00001FAF",20750
"28143665","CHILDS & HALLIGAN PA","Uncoded","Uncoded","Uncoded",75,25,"#00007FAF","#00007FAF",7000
"13338","JOYE LAW FIRM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",27.3504273504274,72.6495726495726,"#750000AF","#750000AF",29250
"16179","STEINBERG LAW FIRM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",25.6622516556291,74.3377483443709,"#800000AF","#800000AF",30200
"2116","PROGRESS ENERGY","Electric Utilities","Energy & Natural Resources","Electric power utilities",41.3793103448276,58.6206896551724,"#2E0000AF","#2E0000AF",29000
"15505","RICHARD A HARPOOTLIAN PA","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",86.2068965517241,13.7931034482759,"#0000B8AF","#0000B8AF",14500
"8003680","BLACK RIVER ELECTRIC COOPERATIVE","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",84.6153846153846,15.3846153846154,"#0000ADAF","#0000ADAF",6500
"8015830","HYMAN LAW FIRM LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",88,12,"#0000C2AF","#0000C2AF",6250
"8016225","BELINDA ELLISON ATTORNEY AT LAW","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",5250
"27642691","LYNCHES RIVER ELECTRIC COOPERATIVE INC","Uncoded","Uncoded","Uncoded",77.7777777777778,22.2222222222222,"#00008AAF","#00008AAF",4500
"36651649","CHAPPELL SMITH & ARDEN PA","Uncoded","Uncoded","Uncoded",42.0289855072464,57.9710144927536,"#290000AF","#290000AF",17250
"7946454","JEBAILY LAW FIRM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",81.0606060606061,18.9393939393939,"#00009EAF","#00009EAF",6600
"8004036","LOURIE LAW FIRM LLC","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",88.2352941176471,11.7647058823529,"#0000C2AF","#0000C2AF",4250
"20989","SOUTH CAROLINA PHYSICAL THERAPY ASSOCIATION","Health Professionals","Health","Other non-physician health practitioners",42.8571428571429,57.1428571428571,"#290000AF","#290000AF",10500
"16054","SOUTH CAROLINA TRUCKING ASSOCIATION","Trucking","Transportation","Trucking",30.4878048780488,67.0731707317073,"#660000AF","#5C0000AF",41000
"8937","SOUTH CAROLINA BEER WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",27.2727272727273,72.7272727272727,"#750000AF","#750000AF",22000
