"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4926","HOUSE REPUBLICAN CAUCUS OF SOUTH CAROLINA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",68227.65
"7940584","REPUBLICAN CAUCUS OF SOUTH CAROLINA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",55000
"16629269","SOUTH CAROLINA REPUBLICAN CAUCUS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",15000
"4929","HOUSE DEMOCRATIC CAUCUS OF SOUTH CAROLINA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",27000
"8947","SOUTH CAROLINA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",44.2307692307692,51.9230769230769,"#1F0000AF","#0A0000AF",26000
"15505","RICHARD A HARPOOTLIAN PA","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",83.3333333333333,0,"#0000A8AF","#0000FFAF",6000
"10443","BLUE CROSS BLUE SHIELD OF SOUTH CAROLINA","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",29.004329004329,70.995670995671,"#6B0000AF","#6B0000AF",57750
"12556","GRAND STRAND BUSINESS ALLIANCE","Business Associations","General Business","Pro-business organizations",29.4117647058824,66.6666666666667,"#6B0000AF","#570000AF",51000
"7975870","MYRTLE BEACH LODGING ASSOCIATION","Lodging & Tourism","General Business","Hotels & motels",28.4974093264249,67.3575129533679,"#700000AF","#5C0000AF",48250
"8044808","GRAND STRAND RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",26.775956284153,68.8524590163934,"#7A0000AF","#610000AF",45750
"12747649","GRAND STRAND GOLF ASSOCIATION","Lodging & Tourism","General Business","Lodging & tourism",27.7777777777778,67.7777777777778,"#750000AF","#5C0000AF",45000
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",21.1382113821138,78.319783197832,"#940000AF","#940000AF",36900
"8935","SOUTH CAROLINA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",14.5161290322581,85.4838709677419,"#B80000AF","#B80000AF",31000
"856","DUKE ENERGY","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",19.047619047619,73.3333333333333,"#9E0000AF","#7A0000AF",26250
"8944","SOUTH CAROLINA FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",30.2238805970149,66.044776119403,"#660000AF","#570000AF",67000
"8181","NEXSEN PRUET JACOBS & POLLARD","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",27.536231884058,72.463768115942,"#750000AF","#750000AF",17250
"7975820","BEACH CO","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",0,100,"#FF0000AF","#FF0000AF",2500
"7941897","PALMETTO BUSINESS COUNCIL","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",12.9032258064516,82.7956989247312,"#C20000AF","#A80000AF",46500
"8040","NELSON MULLENS RILEY & SCARBOROUGH","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",22.9598893499308,76.3485477178423,"#8F0000AF","#8A0000AF",36150
"16050","SOUTH CAROLINA LEADERSHIP PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",10.3896103896104,89.6103896103896,"#CC0000AF","#CC0000AF",38500
"16054","SOUTH CAROLINA TRUCKING ASSOCIATION","Trucking","Transportation","Trucking",22.0447284345048,77.9552715654952,"#8F0000AF","#8F0000AF",78250
"40572458","MANUFACTURED HOUSING INSTITUTE OF SC","Uncoded","Uncoded","Uncoded",10,90,"#CC0000AF","#D10000AF",10000
"384039","SILVER & SILVER PROPERTIES","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",0,75,"#FF0000AF","#800000AF",4000
"21434","SOUTH CAROLINA HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",26.1845386533666,66.3341645885287,"#7A0000AF","#570000AF",40100
"7992704","SOUTH CAROLINA CAPTIVE INSURANCE ASSOCIATION","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",9.375,90.625,"#D10000AF","#D10000AF",3200
"2772","WAL-MART","Retail Sales","General Business","Department, variety & convenience stores",24.6045452573737,75.3954547426263,"#850000AF","#850000AF",13601.43
"8377","PALMETTO LEADERSHIP COUNCIL","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,94.7712418300653,"#FF0000AF","#E60000AF",76500
"36653140","SC ORTHOPEDIC ASSOCIATION","Uncoded","Uncoded","Uncoded",22.2222222222222,77.7777777777778,"#8F0000AF","#8F0000AF",4500
"7942472","WALKER & MORGAN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",3000
"437","BURROUGHS & CHAPIN","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",0,82.9513875865643,"#FF0000AF","#A80000AF",5865.58
"8042459","PALMETTO PATRIOT LEADERSHIP CMTE","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,76.3779527559055,"#FF0000AF","#8A0000AF",12700
"8938","HOME BUILDERS ASSOCIATION OF SOUTH CAROLINA","Home Builders","Construction","Residential construction",9.85915492957746,84.5070422535211,"#D10000AF","#B30000AF",17750
"11901","ELECTRIC COOPERATIVES OF SOUTH CAROLINA","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",28.25,70.5,"#700000AF","#6B0000AF",40000
"8123588","SOUTH CAROLINA ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",63.953488372093,33.7209302325581,"#000042AF","#000052AF",43000
"8450239","SCANA SERVICES","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",21.0526315789474,78.9473684210526,"#940000AF","#940000AF",14250
"40619081","PALMETTO GUNITE CONSTRUCTION CO","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",2000
"8942","SOUTH CAROLINA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",37.4223602484472,62.5776397515528,"#420000AF","#420000AF",32200
