"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4937","TEXAS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1879026.31
"4675","TEXANS FOR LAWSUIT REFORM","Business Associations","General Business","Pro-business organizations",1.46129260917361,98.5387073908264,"#FA0000AF","#FA0000AF",684325.64
"11302837","TEXANS FOR A REPUBLICAN MAJORITY / TRMPAC","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",747234.38
"11175391","CAMPAIGN FOR REPUBLICAN LEADERSHIP","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",176500
"4456","TEXAS ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",51.1179699370371,48.8820300629629,"#000005AF","#000005AF",338882.1
"4936","TEXAS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",80643.29
"20266","TEXAS STATE TEACHERS ASSOCIATION","Public Sector Unions","Labor","Teachers unions",96.3157894736842,3.68421052631579,"#0000EBAF","#0000EBAF",171000
"3053","AKIN GUMP STRASS HAUER & FELD","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",48.582995951417,51.417004048583,"#0A0000AF","#0A0000AF",123500
"4075","TEXAS MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",43.3088521020332,56.6911478979668,"#240000AF","#240000AF",302608.69
"39511714","EDUCATION AUSTIN","Uncoded","Uncoded","Uncoded",97.4358974358974,2.56410256410256,"#0000F0AF","#0000F0AF",39000
"4935","ASSOCIATED REPUBLICANS OF TEXAS","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",153500
"8641517","BASS BROTHERS ENTERPRISES","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",0,100,"#FF0000AF","#FF0000AF",19500
"11038778","GOOD GOVERNMENT FUND","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",0,100,"#FF0000AF","#FF0000AF",20000
"18902","TEXAS HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",19.8830409356725,80.1169590643275,"#9E0000AF","#9E0000AF",25650
"2753","VINSON & ELKINS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",46.1394567602672,53.8605432397328,"#140000AF","#140000AF",168510.87
"10232996","TEXAS BELL","Telecom Services & Equipment","Communications & Electronics","Telecommunications",47.1745227254855,52.8254772745145,"#0F0000AF","#0F0000AF",243648.04
"11052132","TEXAS TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",97.6914257608696,2.30857423913038,"#0000F0AF","#0000F0AF",205754.7
