"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4675","TEXANS FOR LAWSUIT REFORM","Business Associations","General Business","Pro-business organizations",9.78802104261629,90.2119789573837,"#D10000AF","#D10000AF",699835.03
"11052132","TEXAS TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",87.2877394745417,12.7122605254584,"#0000BDAF","#0000BDAF",255658.7
"40625529","TTLA","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",155847.7
"4456","TEXAS ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",34.7867456538547,65.2132543461452,"#520000AF","#520000AF",608407.53
"4935","ASSOCIATED REPUBLICANS OF TEXAS","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",66010.11
"4075","TEXAS MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",24.6024410833181,75.3975589166818,"#850000AF","#850000AF",488544.57
"3193","TEXAS AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",45.5326424098024,54.4673575901976,"#1A0000AF","#1A0000AF",245100.93
"11311179","DAVID SIBLEY CAMPAIGN ACCOUNT FOR STATE SENATE","Candidate Committees","Candidate Contributions","Candidate committees",9.52380952380952,90.4761904761905,"#D10000AF","#D10000AF",42000
"4937","TEXAS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",39300
"3473","TEXAS DENTAL ASSOCIATION","Health Professionals","Health","Dentists",38.2649463651973,61.7350536348027,"#3D0000AF","#3D0000AF",324056.38
"25438075","TX MEDICAL ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",46846.98
"3137","ASSOCIATED GENERAL CONTRACTORS OF TEXAS","General Contractors","Construction","Builders associations",48.3745899194751,51.6254100805249,"#0A0000AF","#0A0000AF",167650
"3791","GALLAGHER LEWIS DOWNEY & KIM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",42.3076923076923,57.6923076923077,"#290000AF","#290000AF",52000
"20266","TEXAS STATE TEACHERS ASSOCIATION","Public Sector Unions","Labor","Teachers unions",64.9253731343284,35.0746268656716,"#000047AF","#000047AF",134000
"2866","WILLIAMS BAILEY LAW FIRM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",51.41065830721,48.58934169279,"#000005AF","#000005AF",159500
"4681","TEXAS OIL & GAS ASSOCIATION","Oil & Gas","Energy & Natural Resources","Oil & gas",14.0350877192982,85.9649122807018,"#B80000AF","#B80000AF",114000
"311","BARON & BUDD","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",59.3301435406699,40.6698564593301,"#00002EAF","#00002EAF",104500
"11040309","TEXAS SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",24.4565217391304,75.5434782608696,"#850000AF","#850000AF",92000
