"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4675","TEXANS FOR LAWSUIT REFORM","Business Associations","General Business","Pro-business organizations",3.24457874454323,96.7554212554568,"#F00000AF","#F00000AF",2746396.59
"11287911","MOSTYN LAW FIRM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",635000
"9184","TEXANS FOR INSURANCE REFORM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",299008
"4075","TEXAS MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",20.402601327949,79.597398672051,"#990000AF","#990000AF",637712.75
"22214699","TEXANS FOR EDUCATION REFORM","Public Education Policy","Ideology/Single Issue","School Choice Advocates",18.0952380952381,81.9047619047619,"#A30000AF","#A30000AF",420000
"11931","EMPOWER TEXANS","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",358805.07
"10244688","PLANNED PARENTHOOD OF TEXAS","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",81504.57
"22214536","TEXAS ASSOCIATION OF CONSUMER LAWYERS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",101610.4
"4456","TEXAS ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",34.1419116191259,65.8580883808741,"#520000AF","#520000AF",1146579.97
"3137","ASSOCIATED GENERAL CONTRACTORS OF TEXAS","General Contractors","Construction","Builders associations",28.6681266175592,71.3318733824408,"#700000AF","#700000AF",251150
"391","BORDER HEALTH","Hospitals & Nursing Homes","Health","Health care institutions",86.3387978142077,13.6612021857924,"#0000B8AF","#0000B8AF",915000
"13466615","ROCKAFELLOW INVESTMENTS","Securities & Investment","Finance, Insurance & Real Estate","Securities, commodities & investment",0,100,"#FF0000AF","#FF0000AF",60000
"11052132","TEXAS TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",88.8059701492537,11.1940298507463,"#0000C2AF","#0000C2AF",335000
"11052108","TEXAS CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",120000
"28274234","ACCOUNTABILITY FIRST","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",74621
"2121","PROVOST & UMPHREY","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",67.032967032967,32.967032967033,"#000057AF","#000057AF",91000
"311","BARON & BUDD","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",20.6349206349206,79.3650793650794,"#990000AF","#990000AF",63000
"10244449","UNIVERSITY OF HOUSTON","Education","Government Agencies/Education/Other","Schools & colleges",38.5775862068966,61.4224137931034,"#3D0000AF","#3D0000AF",116000
"20266","TEXAS STATE TEACHERS ASSOCIATION","Public Sector Unions","Labor","Teachers unions",92,8,"#0000D6AF","#0000D6AF",75000
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",35.7074463111861,64.2925536888139,"#4D0000AF","#4D0000AF",314020.72
"1656","MAXXAM INC","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",19.3313168621922,80.6686831378078,"#9E0000AF","#9E0000AF",77594.3
"11654936","BLACKRIDGE","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",40.8289735057624,59.1710264942376,"#330000AF","#330000AF",242907.16
"4936","TEXAS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",21272.3
"12365","GALLAGHER LAW FIRM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",92.3076923076923,7.69230769230769,"#0000D6AF","#0000D6AF",195000
"12969","HOUSTON POLICE OFFICERS UNION","Public Sector Unions","Labor","Police & fire fighters unions and associations",46.2809917355372,53.7190082644628,"#140000AF","#140000AF",60500
"19477","HOUSTON PROFESSIONAL FIRE FIGHTERS LOCAL 341","Public Sector Unions","Labor","Police & fire fighters unions and associations",53.125,46.875,"#00000FAF","#00000FAF",112000
"958","FARMERS INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",15.7894736842105,84.2105263157895,"#B30000AF","#B30000AF",95000
"2612","TIME WARNER CABLE","Telecom Services & Equipment","Communications & Electronics","Telecommunications",33.9365216142467,66.0634783857533,"#570000AF","#570000AF",348150
"4677","TEXAS CONSUMER FINANCE ASSOCIATION","Banks & Lending Institutions","Finance, Insurance & Real Estate","Banks & lending institutions",27.8026905829596,72.1973094170404,"#750000AF","#750000AF",111500
"8784","RYAN & CO","Accountants","Finance, Insurance & Real Estate","Accountants",14.8148148148148,85.1851851851852,"#B80000AF","#B80000AF",202500
"18807","TEXAS OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",26.2605042016807,73.7394957983193,"#7A0000AF","#7A0000AF",238000
"2378089","ZACHRY JR, HENRY BARTELL (H B)","General Contractors","Construction","Public works, industrial & commercial construction",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",60000
"11038778","GOOD GOVERNMENT FUND","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",7.45697896749522,92.5430210325048,"#DB0000AF","#DB0000AF",130750
"650","COMMUNICATIONS WORKERS OF AMERICA / CWA","General Trade Unions","Labor","Communications & hi-tech unions",90.3614457831325,9.63855421686747,"#0000CCAF","#0000CCAF",41500
"4013","TEXAS LEAGUE OF CONSERVATION VOTERS","Pro-Environmental Policy","Ideology/Single Issue","Environmental policy",100,0,"#0000FFAF","#0000FFAF",19000
"3108","TEXAS APARTMENT ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",34.3450479233227,65.6549520766773,"#520000AF","#520000AF",313000
"2207","REPUBLIC NATIONAL DISTRIBUTING CO","Beer, Wine & Liquor","General Business","Liquor wholesalers",33.0578512396694,66.9421487603306,"#570000AF","#570000AF",60500
"11419851","ONCOR","Electric Utilities","Energy & Natural Resources","Electric power utilities",31.5789473684211,68.4210526315789,"#610000AF","#610000AF",133000
"574","CHICKASAW NATION","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",55.6923076923077,44.3076923076923,"#00001AAF","#00001AAF",162500
"11311654","FRIENDS OF SENATOR JANE NELSON","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",25000
"1096","GEO GROUP","Miscellaneous Business","General Business","Correctional facilities construction & management/for-profit",69.0909090909091,30.9090909090909,"#000061AF","#000061AF",27500
"3615","EXELON","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",27.2727272727273,72.7272727272727,"#750000AF","#750000AF",154000
"12847","HILLCO PARTNERS","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",45.4261475396454,54.5738524603546,"#1A0000AF","#1A0000AF",223566.35
"3839","TEXAS HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",34.8591549295775,65.1408450704225,"#520000AF","#520000AF",142000
"11538471","KEVIN P ELTIFE CAMPAIGN","Candidate Committees","Candidate Contributions","Candidate committees",20,80,"#990000AF","#9E0000AF",25000
"8162063","DENBURY RESOURCES","Oil & Gas","Energy & Natural Resources","Oil & gas",9.25925925925926,90.7407407407407,"#D10000AF","#D10000AF",27000
"4467","TEXAS RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",27.1428571428571,72.8571428571428,"#750000AF","#750000AF",175000
"3473","TEXAS DENTAL ASSOCIATION","Health Professionals","Health","Dentists",29.6534536599901,70.3465463400099,"#6B0000AF","#6B0000AF",135045.72
"11052838","TEXAS ASSOCIATION FOR HOME CARE & HOSPICE","Health Services","Health","Home care services",32.5925925925926,67.4074074074074,"#5C0000AF","#5C0000AF",135000
"12786","HEARTPLACE","Health Professionals","Health","Other physician specialists",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",49000
"3860","INDEPENDENT INSURANCE AGENTS OF TEXAS","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",32.348561936414,67.651438063586,"#5C0000AF","#5C0000AF",295726.84
"11542018","TEXAS PARENT PAC","Public Education Policy","Ideology/Single Issue","Public School Advocates",22.2727645421068,77.7272354578932,"#8F0000AF","#8F0000AF",33661.56
"11259180","HOME","General Contractors","Construction","Builders associations",97.9591836734694,2.04081632653061,"#0000F0AF","#0000F0AF",12250
"19473","FORT WAYNE PROFESSIONAL FIRE FIGHTERS LOCAL 124","Public Sector Unions","Labor","Police & fire fighters unions and associations",43.1372549019608,56.8627450980392,"#240000AF","#240000AF",25500
"11532859","KEVIN WOLFF CAMPAIGN","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",16000
"19252","TEXAS FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",91.4285714285714,8.57142857142857,"#0000D1AF","#0000D1AF",35000
"20611","PLUMBERS & PIPEFITTERS LOCAL 68","General Trade Unions","Labor","Construction unions",95.7219251336899,4.27807486631016,"#0000E5AF","#0000E5AF",46750
"11237032","FRASER FOR TEXAS SENATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",25000
"11040309","TEXAS SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",18.716577540107,81.283422459893,"#A30000AF","#A30000AF",93500
"1174","FRIEDKIN BUSINESS SERVICES / GULF STATE TOYOTA","Automotive","Transportation","Auto dealers, new & used",32.7731092436975,67.2268907563025,"#5C0000AF","#5C0000AF",119000
"2870","WILLIAMS KHERKER HART & BOUNDAS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",35000
"3224","BEER ALLIANCE OF TEXAS","Beer, Wine & Liquor","General Business","Liquor wholesalers",46.6279899533748,53.3720100466252,"#140000AF","#140000AF",163943.61
"3193","TEXAS AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",41.7293233082707,58.2706766917293,"#2E0000AF","#2E0000AF",133000
"1915","NRG ENERGY","Electric Utilities","Energy & Natural Resources","Independent power generation & cogeneration",32.5581395348837,67.4418604651163,"#5C0000AF","#5C0000AF",64500
"4681","TEXAS OIL & GAS ASSOCIATION","Oil & Gas","Energy & Natural Resources","Oil & gas",14.0385027735305,85.9614972264695,"#B80000AF","#B80000AF",72706.97
"13691","LICENSED BEVERAGE DISTRIBUTORS","Beer, Wine & Liquor","General Business","Alcohol",30.3571428571429,69.6428571428571,"#660000AF","#660000AF",28000
"16444","TEXAS CONSTRUCTION ASSOCIATION","General Contractors","Construction","Builders associations",32,68,"#5C0000AF","#610000AF",125000
"2016450","FLORENCE SHAPIRO CAMPAIGN FUND","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",10500
"11173346","SLACK & DAVIS LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",60,40,"#000033AF","#000033AF",25000
"40619534","GULF STATE TOYOTA INC STATE","Uncoded","Uncoded","Uncoded",28.5714285714286,71.4285714285714,"#700000AF","#700000AF",14000
"279084","MEDNAX SERVICES","Health Professionals","Health","Physicians",25.7009345794392,74.2990654205608,"#800000AF","#800000AF",107000
"17043","WEEKLEY PROPERTIES","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",40,60,"#330000AF","#330000AF",25000
"11308836","KICKAPOO TRADITIONAL TRIBE OF TEXAS","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",35.8974358974359,64.1025641025641,"#4D0000AF","#4D0000AF",214500
"17008","WASTE CONTROL SPECIALISTS","Waste Management","Energy & Natural Resources","Waste management",0,100,"#FF0000AF","#FF0000AF",20500
"11374726","FRIENDS OF THE UNIVERSITY","Education","Government Agencies/Education/Other","Schools & colleges",60.3960396039604,39.6039603960396,"#000033AF","#000033AF",101000
"25396358","TEX-PAC TEXAS MEDICAL ASSOC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",20000
"2675","UNION PACIFIC RAILROAD","Railroads","Energy & Natural Resources","Railroads",45.6081081081081,54.3918918918919,"#1A0000AF","#1A0000AF",148000
"40619301","GHA HEALTHCARE","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",20000
"576","CHOCTAW NATION OF OKLAHOMA","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",0,100,"#FF0000AF","#FF0000AF",42500
"943","EXPRESS SCRIPTS","Retail Sales","General Business","Drug stores",11.9402985074627,88.0597014925373,"#C70000AF","#C70000AF",16750
"947","EZCORP INC","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",62.5,37.5,"#00003DAF","#00003DAF",16000
"3225","WHOLESALE BEER DISTRIBUTORS OF TEXAS","Beer, Wine & Liquor","General Business","Liquor wholesalers",42.4916993613689,57.5083006386311,"#290000AF","#290000AF",158379.38
"374926","ASSOCIATIONS INC","Real Estate","Finance, Insurance & Real Estate","Other real estate services, appraisals",57.1428571428571,42.8571428571429,"#000024AF","#000024AF",17500
"4937","TEXAS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",39980.6
"11818404","CONSERVATIVE REPUBLICANS OF TEXAS","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",17963.16
"10244568","TEXAS ALLIANCE FOR LIFE","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-life",1.56507197570382,98.4349280242962,"#FA0000AF","#FA0000AF",25557.93
"913","ENTERGY CORP","Electric Utilities","Energy & Natural Resources","Electric power utilities",19.1235059760956,80.8764940239044,"#9E0000AF","#9E0000AF",62750
"16352931","TEXAS BAIL","Miscellaneous Finance","Finance, Insurance & Real Estate","Bail Bond Services",82.2429906542056,17.7570093457944,"#0000A3AF","#0000A3AF",26750
"2722","USAA","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",37.1706948072082,62.8293051927918,"#420000AF","#420000AF",174868.94
"266","ATMOS ENERGY","Oil & Gas","Energy & Natural Resources","Oil & gas",38.641964638928,61.358035361072,"#3D0000AF","#3D0000AF",171941.62
"11053279","TEXAS PHARMACY ASSOCIATION","Health Professionals","Health","Pharmacists",16.6666666666667,83.3333333333333,"#AD0000AF","#AD0000AF",42000
"10858177","TEXAS A&M UNIVERSITY","Education","Government Agencies/Education/Other","Schools & colleges",37.3015873015873,62.6984126984127,"#420000AF","#420000AF",126000
"2741","VERIZON COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",18.4873949579832,81.5126050420168,"#A30000AF","#A30000AF",29750
"12071212","INDEPENDENT BANKERS ASSOCIATION OF TEXAS","Banks & Lending Institutions","Finance, Insurance & Real Estate","Banks & lending institutions",28.8740584804546,71.1259415195454,"#700000AF","#700000AF",71510.73
"18902","TEXAS HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",50.8474576271186,49.1525423728814,"#000000AF","#000000AF",59000
"28136704","CERNER CORPORATION","Health Services","Health","Health care services",0,100,"#FF0000AF","#FF0000AF",12000
"11690782","TEXAS CONSUMER LENDERS","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",0,100,"#FF0000AF","#FF0000AF",80000
"13712763","TEXAS FOOD & FUEL ASSOCIATION","Oil & Gas","Energy & Natural Resources","Gasoline service stations",13.2530120481928,86.7469879518072,"#BD0000AF","#BD0000AF",41500
"2581","TEXAS & SOUTHWESTERN CATTLE RAISERS ASSOCIATION","Livestock","Agriculture","Livestock",15.4545454545455,84.5454545454545,"#B30000AF","#B30000AF",110000
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",89.4736842105263,10.5263157894737,"#0000C7AF","#0000C7AF",9500
"11052449","ASSOCIATION OF TEXAS PROFESSIONAL EDUCATORS","Public Sector Unions","Labor","Teachers unions",35.7142857142857,64.2857142857143,"#4D0000AF","#4D0000AF",42000
"10235790","STEVE OGDEN CAMPAIGN","Candidate Committees","Candidate Contributions","Candidate committees",26.3157894736842,73.6842105263158,"#7A0000AF","#7A0000AF",9500
"2725","VALERO ENERGY","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",49.5756011073198,50.4243988926802,"#050000AF","#050000AF",51562.34
"25438075","TX MEDICAL ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",14000
"43623415","US ONCOLOGY NETWORK","Uncoded","Uncoded","Uncoded",8.03571428571429,91.9642857142857,"#D60000AF","#D60000AF",28000
"9901","ALLEN BOONE HUMPHRIES ROBINSON","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",38.894609447447,61.105390552553,"#3D0000AF","#3D0000AF",162338.46
"11051793","TEXAS OPHTHALMOLOGICAL ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",25.4658385093168,74.5341614906832,"#800000AF","#800000AF",80500
"644","COMCAST","Telecom Services & Equipment","Communications & Electronics","Telecommunications",53.3333333333333,46.6666666666667,"#00000FAF","#00000FAF",97500
