"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4158008","JOSEPH R (JOE) STRAUS III CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",650842.56
"22214699","TEXANS FOR EDUCATION REFORM","Public Education Policy","Ideology/Single Issue","School Choice Advocates",35.6704890014276,64.3295109985724,"#4D0000AF","#4D0000AF",965989
"4456","TEXAS ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",16.0302151397214,83.9697848602786,"#AD0000AF","#AD0000AF",2114299.01
"4675","TEXANS FOR LAWSUIT REFORM","Business Associations","General Business","Pro-business organizations",9.95486045750305,90.045139542497,"#D10000AF","#D10000AF",2428241.27
"11931","EMPOWER TEXANS","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",1585195.83
"10038","ANNIES LIST","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",343186.18
"11767991","TEXAS HOUSE LEADERSHIP FUND","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",753709.82
"11052132","TEXAS TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",89.5276195072323,10.4723804927677,"#0000C7AF","#0000C7AF",601582.42
"11290274","TEXAS REPUBLICAN REPRESENTATIVES CAMPAIGN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",515159.65
"958","FARMERS INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",14.8423005565863,85.1576994434137,"#B80000AF","#B80000AF",269500
"4935","ASSOCIATED REPUBLICANS OF TEXAS","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",1207988.04
