"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"5499","UTAH LEAGUE OF CREDIT UNIONS","Credit Unions","Finance, Insurance & Real Estate","Credit unions",36.7235636143516,63.2764363856483,"#470000AF","#470000AF",57984.95
"4939","UTAH HOUSE REPUBLICAN ELECTIONS CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",59454.86
"1753","MOLINA HEALTHCARE","Health Services","Health","HMOs",7.89473684210526,92.1052631578947,"#DB0000AF","#DB0000AF",19000
"2182","REAGAN OUTDOOR ADVERTISING","Business Services","General Business","Outdoor advertising services",27.6537547659833,72.3462452340167,"#750000AF","#750000AF",72388
"9313","UTAH MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",6.30317781012475,93.6968221898752,"#E00000AF","#E00000AF",23797.52
"2633","UNITED TRANSPORTATION UNION / UTU","Transportation Unions","Labor","Railroad unions",100,0,"#0000FFAF","#0000FFAF",5900
"18933","PLANNED PARENTHOOD ASSOCIATION OF UTAH","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",8050
"366","BILL BARRETT CORP","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",3.44827586206897,96.551724137931,"#F00000AF","#F00000AF",14500
"644","COMCAST","Telecom Services & Equipment","Communications & Electronics","Telecommunications",20.4334491847983,79.5665508152017,"#990000AF","#990000AF",21533.32
"9196","REGENCE GROUP","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",13,87,"#BD0000AF","#BD0000AF",25000
"14971","PCM VENTURE I","Retail Sales","General Business","Drug stores",6.25,93.75,"#E00000AF","#E00000AF",8000
"15861","SELECT HEALTH","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",16.9509122769101,83.0490877230899,"#AD0000AF","#AD0000AF",28317.06
"1","1-800 CONTACTS","Health Services","Health","Optical services (glasses & contact lenses)",74.7899159663866,25.2100840336134,"#00007AAF","#00007AAF",17850
"16783","UTAH CMTE FOR A DEMOCRATIC MAJORITY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",14750
"11149","CMTE FOR A DEMOCRATIC MAJORITY / UTAH DEMOCRATIC LEADERSHIP COUNCIL","Leadership PACs","Candidate Contributions","PACs operated by Democratic members of Congress or prominent national Democrats",100,0,"#0000FFAF","#0000FFAF",28750
"4457","UTAH ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",14.7465437788018,85.2534562211981,"#B80000AF","#B80000AF",108500
"3807","GRANITE CONSTRUCTION","General Contractors","Construction","Construction, unclassified",0,100,"#FF0000AF","#FF0000AF",9000
"7759","MERIT MEDICAL SYSTEMS","Pharmaceuticals & Health Products","Health","Medical supplies manufacturing & sales",4.46303920138376,95.5369607986162,"#EB0000AF","#EB0000AF",35850.01
"9312","UTAH HOSPITALS & HEALTH SYSTEMS ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",15.3554444149974,84.6445555850026,"#B30000AF","#B30000AF",35166.68
"10956","CDM SMITH","Construction Services","Construction","Engineering, architecture & construction management services",100,0,"#0000FFAF","#0000FFAF",4750
"9303","UTAH COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",18250
"6498","DAVIS COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",7525
"9298","UTAH BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",8.48287112561175,91.5171288743882,"#D60000AF","#D60000AF",30650
