"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"6428","CONSUMER LENDING ALLIANCE","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",98.2758620689655,1.72413793103448,"#0000F5AF","#0000F5AF",29000
"4940","UTAH REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",39302.85
"18420","REPUBLICAN SENATE CAMPAIGN CMTE OF UTAH","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",200314.52
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",74.7386759581882,25.2613240418118,"#00007AAF","#00007AAF",28700
"4457","UTAH ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",13.9240506329114,86.0759493670886,"#BD0000AF","#BD0000AF",118500
"4941","SENATE DEMOCRATS OF UTAH","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",73240.12
"20172","UTAH AFL-CIO","General Trade Unions","Labor","Labor unions",92.7007299270073,7.2992700729927,"#0000D6AF","#0000D6AF",13700
"20268","UTAH EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",85.1484007036678,14.8515992963322,"#0000B3AF","#0000B3AF",24807.16
"15861","SELECT HEALTH","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",19.0023142195937,80.9976857804063,"#9E0000AF","#9E0000AF",38890
"19894","OPERATING ENGINEERS LOCAL 3","General Trade Unions","Labor","Construction unions",93.4426229508197,6.55737704918033,"#0000DBAF","#0000DBAF",15250
"91","ALLIANT TECHSYSTEMS","Defense Aerospace","Defense","Defense aerospace contractors",11.8852459016393,88.1147540983607,"#C70000AF","#C70000AF",24400
"644","COMCAST","Telecom Services & Equipment","Communications & Electronics","Telecommunications",28.5407725321888,71.4592274678112,"#700000AF","#700000AF",46600
"26788252","ENERGY SOLUTIONS","Miscellaneous Energy & Natural Resources","Energy & Natural Resources","Energy, natural resources & environment",17.4265450861196,82.5734549138805,"#A80000AF","#A80000AF",49350
"9303","UTAH COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",9000
"9546","WORKERS COMPENSATION FUND OF UTAH","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",32.6797385620915,67.3202614379085,"#5C0000AF","#5C0000AF",45900
"9313","UTAH MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",14.8785358840528,85.1214641159472,"#B80000AF","#B80000AF",35285.73
"1753","MOLINA HEALTHCARE","Health Services","Health","HMOs",14.8148148148148,85.1851851851852,"#B80000AF","#B80000AF",13500
"9196","REGENCE GROUP","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",21.3946117274168,78.6053882725832,"#940000AF","#940000AF",31550
"2182","REAGAN OUTDOOR ADVERTISING","Business Services","General Business","Outdoor advertising services",31.282996943441,68.717003056559,"#610000AF","#610000AF",39587
"9312","UTAH HOSPITALS & HEALTH SYSTEMS ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",15.1360544217687,84.8639455782313,"#B30000AF","#B30000AF",29400
"12492","GOLD CROSS SERVICES","Health Services","Health","Health care services",29.8440979955457,70.1559020044543,"#6B0000AF","#6B0000AF",22450
"18933","PLANNED PARENTHOOD ASSOCIATION OF UTAH","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",5000
"8368","PACIFICORP","Electric Utilities","Energy & Natural Resources","Electric power utilities",29.8353909465021,70.1646090534979,"#6B0000AF","#6B0000AF",24300
"9835501","UTAH APARTMENT ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",0,100,"#FF0000AF","#FF0000AF",5500
"39828366","ACEC UTAH","Uncoded","Uncoded","Uncoded",11.1111111111111,88.8888888888889,"#C70000AF","#C70000AF",6300
"9851396","SCOTT K JENKINS CAMPAIGN FUND","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",11250
"2695","ALTRIA","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",10.8108108108108,89.1891891891892,"#CC0000AF","#CC0000AF",37000
"9320","UTAH TRUCKING ASSOCIATION","Trucking","Transportation","Trucking",31.3008130081301,68.6991869918699,"#610000AF","#610000AF",12300
"7759","MERIT MEDICAL SYSTEMS","Pharmaceuticals & Health Products","Health","Medical supplies manufacturing & sales",10.1818181818182,89.8181818181818,"#CC0000AF","#CC0000AF",27500
"650","COMMUNICATIONS WORKERS OF AMERICA / CWA","General Trade Unions","Labor","Communications & hi-tech unions",100,0,"#0000FFAF","#0000FFAF",3000
"3825481","INSURE-RITE INC","Uncoded","Uncoded","Uncoded",72.7272727272727,27.2727272727273,"#000070AF","#000070AF",5500
"9837278","PLUMBERS & PIPEFITTERS LOCAL 140","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",4100
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",28.4210526315789,71.5789473684211,"#700000AF","#700000AF",23750
"5499","UTAH LEAGUE OF CREDIT UNIONS","Credit Unions","Finance, Insurance & Real Estate","Credit unions",18.2106998788208,81.7893001211792,"#A30000AF","#A30000AF",19219.47
"7206","INSURE-RITE","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",50,50,"#000000AF","#000000AF",4000
"9943","AOL TIME WARNER","Computer Equipment & Services","Communications & Electronics","Online computer services",52.3809523809524,47.6190476190476,"#00000AAF","#00000AAF",10500
"1017","FIDELITY INVESTMENTS","Securities & Investment","Finance, Insurance & Real Estate","Securities, commodities & investment",24,76,"#850000AF","#850000AF",25000
"2147","QWEST COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",40.5541561712846,59.4458438287154,"#330000AF","#330000AF",19850
"2772","WAL-MART","Retail Sales","General Business","Department, variety & convenience stores",34.7826086956522,65.2173913043478,"#520000AF","#520000AF",10350
"8738","ROBERT J DEBRY & ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",36,64,"#470000AF","#470000AF",18750
"8898","SIEGFRIED & JENSEN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",29.3577981651376,70.6422018348624,"#6B0000AF","#6B0000AF",27250
