"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4947","VIRGINIA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",202471.63
"11752","DOMINION LEADERSHIP TRUST","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",265300
"6030221","ONE VIRGINIA PAC","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",525500
"5689172","CLASS OF 2002 SOUTHSIDE LEADERSHIP FUND","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",58000
"5704024","COMMONWEALTH VICTORY FUND OF VIRGINIA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",265231.91
"14483","NEW LEADERSHIP VIRGINIA FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",105881
"4944","VIRGINIA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",109706.95
"3479","DOMINION","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",41.8253771951521,56.9379173880782,"#2E0000AF","#240000AF",202150
"5703590","FRIENDS OF FRANK HALL","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",51600
"6033233","FRIENDS OF BILL HOWELL","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",44136.45
"6046040","FRIENDS OF TOM DAVIS","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",35750
"16873","VIRGINIA MEDICAL SOCIETY","Health Professionals","Health","Physicians",18.9699941607677,79.1239125605721,"#A30000AF","#990000AF",69101.55
"964","FEDERAL VICTORY FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",95000
"5883316","FRIENDS OF JACK REID","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",26250
"5701680","FRIENDS OF BRIAN MORAN","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",29400
"1783490","VIRGINIANS FOR JERRY KILGORE","Candidate Committees","Candidate Contributions","Candidate committees",0,99.6138996138996,"#FF0000AF","#FF0000AF",64750
"11637","VIRGINIA HOUSE DEMOCRATIC CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",42758.8
"16849","VIRGINIA AUTO DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",25.158244852617,73.0880257131342,"#800000AF","#7A0000AF",213830.02
"5720","ALL CHILDREN MATTER","Public Education Policy","Ideology/Single Issue","School Choice Advocates",0,100,"#FF0000AF","#FF0000AF",45718.89
"5701730","LEADERSHIP FOR VIRGINIAS FUTURE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",35500
"5810457","BOWMAN CONSULTING GROUP PC","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",0,100,"#FF0000AF","#FF0000AF",12000
"6032690","FRIENDS OF PRESTON BRYANT","Candidate Committees","Candidate Contributions","Candidate committees",0,94.4444444444444,"#FF0000AF","#E60000AF",18000
"5703254","FRIENDS OF MORGAN GRIFFITH","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",25036.94
"5703186","THE LEADERSHIP PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",36499.94
"9900","ALLEN ALLEN ALLEN & ALLEN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",27.0946224840165,71.5836886143242,"#750000AF","#700000AF",75660.77
"16858","VIRGINIA CONSERVATIVE ALLIANCE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",26478.09
"4521638","CMTE FOR REPUBLICAN LEADERSHIP","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,96.0338445267055,"#FF0000AF","#F00000AF",18910
"3229","VIRGINIA BEER WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",19.3134841388323,78.5059612003318,"#9E0000AF","#940000AF",80254.81
"4768","VIRGINIA WINE WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",24.4607841885491,73.5232171145925,"#850000AF","#7A0000AF",74404.81
"2332","SEAFARERS INTERNATIONAL UNION / SIU","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",10500
"16850","VIRGINIA BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",26.1326567596955,71.692642261689,"#7A0000AF","#700000AF",137950
"21463","VIRGINIA STATE AFL-CIO","General Trade Unions","Labor","Labor unions",97.3706651506538,1.91870380898238,"#0000F0AF","#0000F5AF",70360
"5685821","VIRGINIA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",83.5050954911537,16.4949045088463,"#0000A8AF","#0000A8AF",55774.8
"6045355","FRIENDS OF MARTY WILLIAMS","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",8856.58
"904","EMILYS LIST","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",22891.03
"5703754","FRIENDS OF KEN PLUM","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",23500
"17629359","HEAVY CONSTRUCTION CONTRACTORS ASSOCIATION","Uncoded","Uncoded","Uncoded",8.65384615384615,91.3461538461538,"#D60000AF","#D60000AF",10400
"6294467","ASSOCIATED GENERAL CONTRACTORS OF AMERICA / AGC","General Contractors","Construction","Builders associations",9.00277008310249,88.2271468144044,"#D10000AF","#C70000AF",36100
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",97.5757575757576,0,"#0000F0AF","#0000FFAF",16500
"6076614","FRIENDS OF MITCH VAN YAHRES","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",13000
"16890","VIRGINIA STATE POLICE ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",25.334484246871,71.4285714285714,"#800000AF","#700000AF",46340
"5691884","VIRGINIA HEALTH SERVICES","Hospitals & Nursing Homes","Health","Nursing homes",0,100,"#FF0000AF","#FF0000AF",6250
"18904","VIRGINIA HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",27.5103163686382,68.363136176066,"#750000AF","#610000AF",54525
"4458","VIRGINIA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",22.066117164837,75.1582706131709,"#8F0000AF","#850000AF",144112.35
"6148658","FRIENDS OF DAVE ALBO","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",8442.44
"12907","HOME BUILDERS ASSOCIATION OF VIRGINIA","Home Builders","Construction","Residential construction",26.9014877385761,73.0985122614239,"#7A0000AF","#7A0000AF",102763.35
"5725120","FRIENDS OF S CHRIS JONES","Candidate Committees","Candidate Contributions","Candidate committees",0,92.5553694397915,"#FF0000AF","#DB0000AF",26865
"16860","VIRGINIA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",36.7610324729392,61.3655287260616,"#470000AF","#3D0000AF",120100
"5941585","FRIENDS OF CLAY ATHEY","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",5675
"2710","UPS","Air Transport","Transportation","Express delivery services",27.7227722772277,72.2772277227723,"#750000AF","#750000AF",25250
"5988034","PARK CENTER ASSOCIATES","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",100,0,"#0000FFAF","#0000FFAF",7000
"6037229","FRIENDS OF THELMA DRAKE","Candidate Committees","Candidate Contributions","Candidate committees",0,98.2372642340913,"#FF0000AF","#FA0000AF",28365
"5716842","GLOBAL TECHNICAL SYSTEMS","Computer Equipment & Services","Communications & Electronics","Computer manufacture & services",0,100,"#FF0000AF","#FF0000AF",6000
"29116440","BLACK AMERICAS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",8000
"6051186","FRIENDS OF CLARK HOGAN","Candidate Committees","Candidate Contributions","Candidate committees",0,41.1764705882353,"#FF0000AF","#000029AF",8500
"4949","VIRGINIA STATE LEGISLATIVE BLACK CAUCUS","Minority & Disability Groups","Ideology/Single Issue","Minority & ethnic groups",100,0,"#0000FFAF","#0000FFAF",15000
"16857","VIRGINIA CONSERVATIVE ACTION PAC","Conservative Policy Organization","Ideology/Single Issue","Limited Government",0,100,"#FF0000AF","#FF0000AF",11500
"5822269","ROBERT BERNARD BELL III CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",10500
"10041","ANTHEM INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",8.71559633027523,89.4495412844037,"#D60000AF","#CC0000AF",54500
"16853","VIRGINIA CABLE TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",17.3788520225508,81.5349697260398,"#A80000AF","#A30000AF",69049.44
"2410","SMURFIT-STONE CONTAINER CORP","Miscellaneous Manufacturing & Distributing","General Business","Paper packaging materials",11.090573012939,83.6282017428043,"#C70000AF","#AD0000AF",18935
"24728449","WAWA INC","Uncoded","Uncoded","Uncoded",12.112676056338,86.4788732394366,"#C20000AF","#BD0000AF",17750
"5702997","KENNETH T CUCCINELLI II CAMPAIGN CMTE","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6000
"5703066","7TH DISTRICT REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",6500
"2741","VERIZON COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",32.2852760736196,65.3182515337423,"#5C0000AF","#520000AF",52160
"1569","INTERNATIONAL LONGSHOREMENS ASSOCIATION / ILA","Transportation Unions","Labor","Merchant marine & longshoremen unions",100,0,"#0000FFAF","#0000FFAF",7000
"3","21ST CENTURY DEMOCRATS","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",100,0,"#0000FFAF","#0000FFAF",14245.69
"16893","VIRGINIA TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",32.2050456611189,66.9898281973532,"#5C0000AF","#570000AF",62102.07
"6053215","FRIENDS OF KAREN DARNER","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",5500
"15901","SERVICE DISTRIBUTING","Beer, Wine & Liquor","General Business","Liquor wholesalers",4.02144772117962,95.9785522788204,"#EB0000AF","#EB0000AF",18650
"14043","MCGUIREWOODS LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",32.3700348373274,66.5755666337694,"#5C0000AF","#570000AF",47420.4
"16865","VIRGINIA HOSPITAL & HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",43.2221919102406,56.0816329410031,"#240000AF","#240000AF",107731.51
"5703351","VIRGINIA LEAGUE OF CONSERVATION VOTERS","Pro-Environmental Policy","Ideology/Single Issue","Environmental policy",100,0,"#0000FFAF","#0000FFAF",13488.01
"3797","GEORGIA-PACIFIC","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",5.3475935828877,62.5668449197861,"#E60000AF","#420000AF",18700
"6032676","FRIENDS OF VINCENT CALLAHAN","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",8006
"5685901","FAIRFAX COUNTY PROFESSIONAL FIRE FIGHTERS & PARAMEDICS LOCAL 2068","Public Sector Unions","Labor","Police & fire fighters unions and associations",90.7692307692308,9.23076923076923,"#0000CCAF","#0000CCAF",16250
"5692307","POMOCO AUTO GROUP","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6300
"900","ELI LILLY & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",9.67741935483871,90.3225806451613,"#D10000AF","#D10000AF",15500
"16564","TIDEWATER BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",23.0263157894737,76.9736842105263,"#8A0000AF","#8A0000AF",15200
"5686405","VIRGINIA INDEPENDENT AUTO DEALERS","Automotive","Transportation","Auto dealers, new & used",5.43478260869565,89.1304347826087,"#E60000AF","#CC0000AF",18400
"18915","VIRGINIA SOCIETY OF OPHTHALMOLOGY","Health Professionals","Health","Optometrists & ophthalmologists",13.6733313522195,86.3266686477805,"#BD0000AF","#BD0000AF",16455.39
"6084725","F & W MANAGEMENT","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",73.3223085245815,26.6776914754185,"#000075AF","#000075AF",4547.32
"6034038","VA GREATER WASHINGTON BOARD OF TRADE","Business Associations","General Business","General business associations",53.8218646717726,46.1781353282274,"#00000FAF","#00000FAF",10105.8
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",18.0041870202373,79.6231681786462,"#A30000AF","#990000AF",35825
"2651","TROUTMAN SANDERS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",19.0523476744361,79.3286116218994,"#9E0000AF","#990000AF",61147.32
"40619588","AFFORDABLE SHELTER","Uncoded","Uncoded","Uncoded",60,40,"#000033AF","#000033AF",16250
"9782","AC FURNITURE CO","Retail Sales","General Business","Furniture & appliance stores",85.7142857142857,14.2857142857143,"#0000B3AF","#0000B3AF",3500
"1855","NATIONAL RIGHT TO WORK CMTE","Anti-Labor Groups","Ideology/Single Issue","Labor, anti-union",0,100,"#FF0000AF","#FF0000AF",5500
"2695","ALTRIA","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",17.5960040042519,80.855960452852,"#A80000AF","#9E0000AF",96897
"16877","VIRGINIA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",26.9436997319035,71.0455764075067,"#7A0000AF","#700000AF",74600
"1020","UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION / UFCW","General Trade Unions","Labor","Retail trade unions",96.1538461538462,0,"#0000EBAF","#0000FFAF",6500
"6037215","VIRGINIA REPUBLICANS - TUSK & TRUNK","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",8000
"481","CAPITAL ONE FINANCIAL CORP","Finance & Credit Companies","Finance, Insurance & Real Estate","Credit agencies & finance companies",22.4851364254173,76.615458117566,"#8F0000AF","#8A0000AF",27796.14
"1635","MARK WINKLER CO","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",100,0,"#0000FFAF","#0000FFAF",3120
"6033794","VIRGINIA DEM - NORFOLK","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",3868
"6032635","FRIENDS OF KEN STOLLE FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",7300
"5698888","FRIENDS OF TOMMY NORMENT","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",3271.36
"6032813","FRIENDS OF LEO WARDRUP","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",29750
"735","CSX TRANSPORTATION","Railroads","Energy & Natural Resources","Railroads",16.2660615034573,79.8515746533357,"#AD0000AF","#990000AF",25359.55
"2530349","PHILLIPS INTERNATIONAL INC","Printing & Publishing","Communications & Electronics","Book, newspaper & periodical publishing",0,100,"#FF0000AF","#FF0000AF",9000
"5732141","NORFOLK SOUTHERN","Railroads","Energy & Natural Resources","Railroad transportation",26.2551901571694,70.5606643401177,"#7A0000AF","#6B0000AF",39257
"8920","SMITHFIELD FOODS","Food Processing & Sales","Agriculture","Meat processing & products",41.6666666666667,55.5555555555556,"#2E0000AF","#1F0000AF",9000
"6033307","FRIENDS OF BILL MIMS FOR HOUSE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",3250
"6046259","RICKY L BROWN & SONS","Special Trade Contractors","Construction","Landscaping & excavation services",0,100,"#FF0000AF","#FF0000AF",3500
"860","E I DU PONT DE NEMOURS & CO","Chemical & Related Manufacturing","General Business","Chemicals",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",17500
"11062","CHRISTIAN & BARTON","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",6.84410646387833,90.1140684410646,"#E00000AF","#D10000AF",6575
"16905","VIRGINIA MAINTENANCE SERVICE","General Contractors","Construction","Public works, industrial & commercial construction",14.4620811287478,82.363315696649,"#B80000AF","#A80000AF",28350
"40613752","GOLDEN RULE FINANCIAL CORPORATION","Uncoded","Uncoded","Uncoded",0,94.4444444444444,"#FF0000AF","#E60000AF",9000
