"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"11752","DOMINION LEADERSHIP TRUST","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",1674158.28
"11637","VIRGINIA HOUSE DEMOCRATIC CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",746802.89
"5805094","HOUSE REPUBLICAN CAMPAIGN CMTE OF VIRGINIA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",513812.52
"4947","VIRGINIA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1262283.38
"4944","VIRGINIA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1500056.71
"12973","WILLIAM HOWELL CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",297940
"3229","VIRGINIA BEER WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",19.6090281574583,80.3909718425417,"#9E0000AF","#9E0000AF",298331.97
"8677","REPUBLICAN STATE LEADERSHIP CMTE","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",130276.27
"5703169","TOM RUST CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",42544.62
"1823","NATIONAL ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",31.9418718001338,68.0581281998662,"#610000AF","#610000AF",209825.18
"17015347","MAJORITY LEADER PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",289962.73
"3479","DOMINION","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",26.8433883054742,73.0027269605931,"#7A0000AF","#7A0000AF",324918.52
"16860","VIRGINIA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",23.6144832853623,76.3855167146377,"#8A0000AF","#8A0000AF",277372.15
"4768","VIRGINIA WINE WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",20.9850308931939,79.014969106806,"#990000AF","#990000AF",201333.99
"2351","SERVICE EMPLOYEES INTERNATIONAL UNION / SEIU","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",41000
"2741","VERIZON COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",16.4283243662813,83.5716756337187,"#AD0000AF","#AD0000AF",145683.33
"4458","VIRGINIA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",13.5613922281499,86.4386077718501,"#BD0000AF","#BD0000AF",227637.69
"16873","VIRGINIA MEDICAL SOCIETY","Health Professionals","Health","Physicians",11.2858258281072,88.7141741718929,"#C70000AF","#C70000AF",219301.63
"16850","VIRGINIA BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",16.1594507810179,83.8405492189821,"#AD0000AF","#AD0000AF",284663.14
"21463","VIRGINIA STATE AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",93200
"3840","HOSPITAL CORP OF AMERICA","Hospitals & Nursing Homes","Health","Hospitals",18.4887459807074,81.5112540192926,"#A30000AF","#A30000AF",155500
"9924","ALPHA NATURAL RESOURCES","Mining","Energy & Natural Resources","Coal mining",6.53789004457652,93.4621099554235,"#E00000AF","#E00000AF",168250
"5725120","FRIENDS OF S CHRIS JONES","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",73500
"14637","NORTH VIRGINIA TECHNOLOGY COUNCIL","Computer Equipment & Services","Communications & Electronics","Data processing & computer services",25.3187613843352,74.6812386156649,"#800000AF","#800000AF",137250
"5768906","KILGORE FOR DELEGATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",57000
"16849","VIRGINIA AUTO DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",33.7919399137475,66.2080600862525,"#570000AF","#570000AF",222437.57
"37975337","VIRGINIA SHELTER CORPORATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",17000
"12525","GOPAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",32500
"12260748","O\'QUINN FOR DELEGATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",26500
"18904","VIRGINIA HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",14.2038229657149,85.7961770342851,"#B80000AF","#B80000AF",110885.64
"11291","COMMUNITY LOANS OF AMERICA","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",16.0919540229885,83.9080459770115,"#AD0000AF","#AD0000AF",43500
"16891","VIRGINIA TAXICAB ASSOCIATION","Miscellaneous Transport","Transportation","Taxicabs",23.8255033557047,76.1744966442953,"#8A0000AF","#8A0000AF",74500
"670","CONSOL ENERGY","Mining","Energy & Natural Resources","Coal mining",2.29885057471264,97.7011494252874,"#F50000AF","#F50000AF",65250
"16893","VIRGINIA TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",34.2657342657343,65.7342657342657,"#520000AF","#520000AF",143000
"16853","VIRGINIA CABLE TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",27.1353943165459,72.8646056834541,"#750000AF","#750000AF",156622.01
"5732141","NORFOLK SOUTHERN","Railroads","Energy & Natural Resources","Railroad transportation",11.5942028985507,88.4057971014493,"#C70000AF","#C70000AF",34500
"5703351","VIRGINIA LEAGUE OF CONSERVATION VOTERS","Pro-Environmental Policy","Ideology/Single Issue","Environmental policy",78.8284081144693,21.1715918855307,"#00008FAF","#00008FAF",26767
"15901","SERVICE DISTRIBUTING","Beer, Wine & Liquor","General Business","Liquor wholesalers",3.12548835755587,96.8745116424441,"#F00000AF","#F00000AF",31995
"130","AMERICAN ELECTRIC POWER","Electric Utilities","Energy & Natural Resources","Electric power utilities",20.2733485193622,79.7266514806378,"#990000AF","#990000AF",109750
"15203","PREMIUM DISTRIBUTORS OF VIRGINIA","Beer, Wine & Liquor","General Business","Liquor wholesalers",0,100,"#FF0000AF","#FF0000AF",23500
"17626021","HAMPTON ROADS BUSINESS ROUNDTABLE","Business Associations","General Business","Pro-business organizations",15.5555555555556,84.4444444444444,"#B30000AF","#B30000AF",45000
"5916892","BRAMBLETON GROUP LLC","Home Builders","Construction","Residential construction",60,40,"#000033AF","#000033AF",25000
"3868","INTUIT INC","Computer Equipment & Services","Communications & Electronics","Computer software",15.6862745098039,84.3137254901961,"#B30000AF","#B30000AF",25500
"1095","GENWORTH FINANCIAL","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",21.5962441314554,78.4037558685446,"#940000AF","#940000AF",106500
"5780","LOAN MAX","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",84000
"16892","VIRGINIA TRANSPORTATION CONSTRUCTION ALLIANCE","General Contractors","Construction","Builders associations",14.0744390985693,85.9255609014307,"#B80000AF","#B80000AF",62380.39
"9900","ALLEN ALLEN ALLEN & ALLEN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",38.4615384615385,61.5384615384615,"#3D0000AF","#3D0000AF",48750
"5121926","HIRST, THOMSON M (TOM)","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",100,0,"#0000FFAF","#0000FFAF",23650
"10861022","DELEGATE KIRK COX","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",10000
"16872","VIRGINIA MARITIME ASSOCIATION","Sea Transport","Transportation","Sea transport",15.9045725646123,84.0954274353877,"#B30000AF","#B30000AF",125750
"1413","K-VA-T FOOD STORES","Food Processing & Sales","Agriculture","Food stores",0,100,"#FF0000AF","#FF0000AF",8850
"481","CAPITAL ONE FINANCIAL CORP","Finance & Credit Companies","Finance, Insurance & Real Estate","Credit agencies & finance companies",15.7915515199368,84.2084484800632,"#B30000AF","#B30000AF",63325
"16851","VIRGINIA BEVERAGE ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",29.4460986799378,70.5539013200622,"#6B0000AF","#6B0000AF",116314.22
"42168","SEA WORLD PARKS & ENTERTAINMENT","Lodging & Tourism","General Business","Resorts",16.6666666666667,83.3333333333333,"#AD0000AF","#AD0000AF",12000
"38000658","RICHMOND BUILD","Uncoded","Uncoded","Uncoded",1.94174757281553,98.0582524271845,"#FA0000AF","#FA0000AF",25750
"17015436","FRIENDS OF GREG HABEEB","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",20490
"2615","TITLEMAX","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",3.53982300884956,96.4601769911504,"#F00000AF","#F00000AF",56500
