"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"6140","CALEDONIA COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",9014
"28299673","VT REPUBLICAN PARTY","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6255.3
"4950","VERMONT REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",19000
"8781","RUTLAND COUNTY DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",4597.64
"7101","HOME BUILDERS & REMODELERS OF NORTHERN VERMONT","Home Builders","Construction","Residential construction",24.3589743589744,75.6410256410256,"#850000AF","#850000AF",7800
"6847","FRIENDS OF CHITTENDEN COUNTY REPUBLICAN LEGISLATORS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3700
"6979","GREEN MOUNTAIN REPUBLICAN SENATE CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",8500
"9512","WINDSOR COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1500
"4265","PHRMA","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",1500
"904","EMILYS LIST","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",1000
"8206022","BERNARD (BERNIE) SANDERS CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",1000
"9343","VERMONT ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",42.8571428571429,57.1428571428571,"#290000AF","#290000AF",3500
"9960341","BARRE TOWN REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",700
"12623","GROCERY MANUFACTURERS ASSOCIATION","Food Processing & Sales","Agriculture","Food & kindred products manufacturing",100,0,"#0000FFAF","#0000FFAF",1100
"40619611","SNYDER GROUP INC","Uncoded","Uncoded","Uncoded",62.5,37.5,"#00003DAF","#00003DAF",800
"5936","BAKER DISTRIBUTING","Beer, Wine & Liquor","General Business","Liquor wholesalers",59.4594594594595,40.5405405405405,"#00002EAF","#00002EAF",3700
"9957017","TOWN OF BARRE REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",800
"1629","MARIJUANA POLICY PROJECT","Drug Policy","Ideology/Single Issue","Drug Legalization Advocates",100,0,"#0000FFAF","#0000FFAF",1200
"9366","VERMONT SKI AREAS ASSOCIATION","Recreation & Live Entertainment","General Business","Amusement & recreation centers",38.6363636363636,61.3636363636364,"#3D0000AF","#3D0000AF",4400
"9963008","FRIENDS OF WASHINGTON COUNTY REPUBLICANS OF VERMONT","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",800
"9956896","RUTLAND COUNTY REPUBLICAN CENTRAL CMTE OF VERMONT","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",800
"20612","PLUMBERS & PIPEFITTERS LOCAL 693","General Trade Unions","Labor","Construction unions",85.7142857142857,14.2857142857143,"#0000B3AF","#0000B3AF",2800
"5505","ASSOCIATION OF VERMONT CREDIT UNIONS","Credit Unions","Finance, Insurance & Real Estate","Credit unions",78.2608695652174,21.7391304347826,"#00008FAF","#00008FAF",2300
"9962933","PETER WELCH CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",900
"40617503","SNYDER GROUP","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",500
"2034","PFIZER","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",42.1052631578947,57.8947368421053,"#290000AF","#290000AF",1900
"913","ENTERGY CORP","Electric Utilities","Energy & Natural Resources","Electric power utilities",50,50,"#000000AF","#000000AF",1600
"9349","VERMONT CHIROPRACTIC ASSOCIATION","Health Professionals","Health","Chiropractors",82.4561403508772,17.5438596491228,"#0000A3AF","#0000A3AF",570
"9968889","VERMONT REPUBLICAN SENATE MAJORITY CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",500
"9369","VERMONT STATE DENTAL SOCIETY","Health Professionals","Health","Dentists",57.1428571428571,42.8571428571429,"#000024AF","#000024AF",3500
"9374","VERMONT TROOPERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",83.3333333333333,16.6666666666667,"#0000A8AF","#0000A8AF",1500
"145","AMERICAN INSURANCE ASSOCIATION","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",750
"3412","COCA-COLA","Food & Beverage","General Business","Beverages (non-alcoholic)",100,0,"#0000FFAF","#0000FFAF",450
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",88.2352941176471,11.7647058823529,"#0000C2AF","#0000C2AF",850
"780","DEMOCRACY FOR AMERICA","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",100,0,"#0000FFAF","#0000FFAF",1000
"9370","VERMONT STATE EMPLOYEES ASSOCIATION","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",800
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",800
