"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4956","WASHINGTON STATE DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",91.5973789613705,0,"#0000D1AF","#0000FFAF",842429.4
"15871","SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON","Party Committees","Party","Democratic Party committees",91.8815051369535,0,"#0000D1AF","#0000FFAF",850555.69
"4955","WASHINGTON STATE REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",1.90177358241054,94.0707759955626,"#FA0000AF","#E60000AF",755286.02
"2614600","SENATE REPUBLICAN CAMPAIGN CMTE OF WASHINGTON","Party Committees","Party","Republican Party committees",9.58913082748456,88.980128792626,"#D10000AF","#C70000AF",838726.59
"7433","KING COUNTY REPUBLICAN CENTRAL CMTE OF WASHINGTON","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",185564.31
"2611307","MASON COUNTY REPUBLICAN PARTY OF WASHINGTON","Party Committees","Party","Republican Party committees",93.0124404139054,6.98755958609464,"#0000DBAF","#0000DBAF",43005
"27949826","28TH LEGISLATIVE DISTRICT PAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",22100
"10668028","(BLANK)","Uncoded","Uncoded","Uncoded",78.1013700681291,21.8986299318709,"#00008FAF","#00008FAF",133570
"2833169","PIERCE COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",54150
"2607999","KING COUNTY DEMOCRATIC CENTRAL CMTE OF WASHINGTON","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",13661.67
"2609327","28TH LEGISLATIVE DISTRICT DEMOCRATS OF WASHINGTON","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",39266.67
"2609544","SPOKANE COUNTY DEMOCRATIC CENTRAL CMTE OF WASHINGTON","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",6900
