"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4956","WASHINGTON STATE DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",69.223773964938,0,"#000061AF","#0000FFAF",609819.02
"12952","HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON","Party Committees","Party","Democratic Party committees",75.8292234368485,0,"#00007FAF","#0000FFAF",1048801.76
"4955","WASHINGTON STATE REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",522853.01
"18259","HOUSE REPUBLICAN ORGANIZATIONAL CMTE OF WASHINGTON","Party Committees","Party","Republican Party committees",0,99.9545673091769,"#FF0000AF","#FF0000AF",395089.96
"2614600","SENATE REPUBLICAN CAMPAIGN CMTE OF WASHINGTON","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2e+05
"2889755","PIERCE COUNTY DEMOCRATIC CENTRAL CMTE OF WASHINGTON","Party Committees","Party","Democratic Party committees",96.4285714285714,0,"#0000EBAF","#0000FFAF",28000
"2607999","KING COUNTY DEMOCRATIC CENTRAL CMTE OF WASHINGTON","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",23500
"2609327","28TH LEGISLATIVE DISTRICT DEMOCRATS OF WASHINGTON","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",24083.66
"2667138","SNOHOMISH COUNTY DEMOCRATS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",33450
"2609544","SPOKANE COUNTY DEMOCRATIC CENTRAL CMTE OF WASHINGTON","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",21075
"2609332","5TH DISTRICT DEMOCRATS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",7050
"2609325","6TH LEGISLATIVE DISTRICT DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",5250
"19183","WASHINGTON STATE COUNTY & CITY EMPLOYEES COUNCIL 2","Public Sector Unions","Labor","State & local government employee unions",86.2258953168044,0,"#0000B8AF","#0000FFAF",36300
"20270","WASHINGTON EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",77.7846534653465,4.95049504950495,"#00008AAF","#0000E5AF",80800
"2610239","WASHINGTON STATE ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",79.5191451469279,14.2475512021371,"#000094AF","#0000B3AF",112300
"20402","SEIU HEALTHCARE LOCAL 775 NW","General Trade Unions","Labor","Health worker unions",82.9059829059829,6.99300699300699,"#0000A3AF","#0000DBAF",64350
"20837","PACFIC NORTHWEST REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",86.7639395518499,5.1068264721209,"#0000B8AF","#0000E0AF",95950
"2652733","SNOHOMISH COUNTY LABOR COUNCIL","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",3400
"4468","WASHINGTON RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",20.8636363636364,79.1363636363636,"#990000AF","#990000AF",110000
"18543","HARRY TRUMAN FUND","Party Committees","Party","Democratic Party committees",76.3779527559055,0,"#000085AF","#0000FFAF",50800
"20492","SHEET METAL WORKERS LOCAL 66","General Trade Unions","Labor","Construction unions",88.7955182072829,0,"#0000C2AF","#0000FFAF",35700
"1370","JAMESTOWN SKLALLAM TRIBE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",92.7536231884058,0,"#0000D6AF","#0000FFAF",6900
"3474","WASHINGTON STATE DENTAL ASSOCIATION","Health Professionals","Health","Dentists",35.9005214600882,63.2972322503008,"#4D0000AF","#470000AF",124650
"38254636","SEIU HEALTHCARE 1199NW","General Trade Unions","Labor","Health worker unions",91.1942762795817,1.10071546505228,"#0000D1AF","#0000F5AF",90850
"20885","FOOD & COMMERCIAL WORKERS LOCAL 21","General Trade Unions","Labor","Retail trade unions",88.7005649717514,0,"#0000C2AF","#0000FFAF",17700
"2630517","LABORERS LOCAL 252","General Trade Unions","Labor","Construction unions",96.1242367932041,0,"#0000EBAF","#0000FFAF",7534
"18905","WASHINGTON HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",50.8042369556689,48.4111416241663,"#000000AF","#000005AF",127450
"9414","WASHINGTON ASSOCIATON OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",40.1981599433829,58.3864118895966,"#330000AF","#2E0000AF",70650
"2141","PUYALLUP TRIBE OF INDIANS","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",74.4932432432432,23.8175675675676,"#00007AAF","#000085AF",88800
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",22.5733634311512,77.4266365688488,"#8F0000AF","#8F0000AF",22150
"19813","WASHINGTON TEAMSTERS LEGISLATIVE LEAGUE","Transportation Unions","Labor","Teamsters unions",84.1042345276873,5.79804560260586,"#0000ADAF","#0000E0AF",76750
"2609660","THURSTON COUNTY DEMOCRATIC CENTRAL CMTE OF WASHINGTON","Party Committees","Party","Democratic Party committees",0,0,"#FF0000AF","#0000FFAF",7200
"15200","PREMERA BLUE CROSS","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",35.4423292273236,64.5576707726764,"#4D0000AF","#4D0000AF",89300
"4761","WEYERHAEUSER CO","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",39.7634885439764,60.2365114560237,"#380000AF","#380000AF",67650
"9435","WASHINGTON STATE MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",55.2429667519182,44.7570332480818,"#00001AAF","#00001AAF",78200
"21511823","PROFESSIONAL & TECHNICAL EMPLOYEES, LOCAL 17","Uncoded","Uncoded","Uncoded",80.1801801801802,0,"#000099AF","#0000FFAF",11100
"43687028","EVERETT FIREFIGHTERS LOCAL 46","Uncoded","Uncoded","Uncoded",77.0642201834862,0,"#00008AAF","#0000FFAF",5450
"16977","WASHINGTON BEVERAGE ASSOCIATION","Food & Beverage","General Business","Beverages (non-alcoholic)",44.8979591836735,53.6443148688047,"#1F0000AF","#140000AF",68600
"18906","WASHINGTON STATE HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",58.974358974359,41.025641025641,"#000029AF","#000029AF",78000
"2603290","NORTHWEST CREDIT UNION ASSOCIATION","Credit Unions","Finance, Insurance & Real Estate","Credit unions",54.902755267423,45.097244732577,"#000014AF","#000014AF",123400
"21266619","ASSOCIATION OF WASHINGTON SPIRITS & WINE DISTRIBUTORS","Beer, Wine & Liquor","General Business","Liquor wholesalers",84.3235504652828,15.6764495347173,"#0000ADAF","#0000ADAF",69850
"385","BOEING CO","Air Transport","Transportation","Aircraft manufacturers",31.0650887573964,68.9349112426035,"#610000AF","#610000AF",101400
"3266","BUILDING INDUSTRY ASSOCIATION OF WASHINGTON","General Contractors","Construction","Builders associations",10.6172839506173,89.3827160493827,"#CC0000AF","#CC0000AF",101250
"4122","NATIONAL FEDERATION OF INDEPENDENT BUSINESS / NFIB","Business Associations","General Business","Small business organizations",0,100,"#FF0000AF","#FF0000AF",12000
"4139","NISQUALLY INDIAN TRIBE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",77.7777777777778,22.2222222222222,"#00008AAF","#00008AAF",27000
"14641","NORTHWEST GROCERY ASSOCIATION","Food Processing & Sales","Agriculture","Food stores",20,80,"#990000AF","#9E0000AF",15000
"15450","RENTAL HOUSING ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",22.7272727272727,77.2727272727273,"#8F0000AF","#8F0000AF",22000
"16989","WASHINGTON MULTI-FAMILY HOUSING ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Real estate",15.4142581888247,84.5857418111753,"#B30000AF","#B30000AF",25950
"2762345","THURSTON COUNTY REPUBLICAN PARTY OF WASHINGTON","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",7000
"2643431","SEATTLE FIRE FIGHTERS LOCAL 27","Public Sector Unions","Labor","Police & fire fighters unions and associations",80.9160305343512,0,"#000099AF","#0000FFAF",10480
"3194","WASHINGTON STATE AUTO DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",49.562101910828,50.437898089172,"#050000AF","#050000AF",125600
"5840","ARKANSAS STATE DENTAL ASSOCIATION","Health Professionals","Health","Dentists",47.0941883767535,52.9058116232465,"#0F0000AF","#0F0000AF",99800
"9415","WASHINGTON BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",44.3052391799544,55.6947608200456,"#1F0000AF","#1F0000AF",87800
"9416","WASHINGTON BEER & WINE DISTRIBUTORS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",51.5445719329214,47.5728155339806,"#000005AF","#00000AAF",113300
"9423","WASHINGTON FOREST PROTECTION ASSOCIATION","Forestry & Forest Products","Agriculture","Timber companies, sawmills, & others engaged in cutting down trees",40.9197194076383,59.0802805923617,"#330000AF","#330000AF",64150
"2603741","POTATO","Crop Production & Basic Processing","Agriculture","Other commodities (including rice, peanuts, honey)",26.3565891472868,73.6434108527132,"#7A0000AF","#7A0000AF",32250
"2631228","WASHINGTON STATE FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",75.6302521008403,0,"#00007FAF","#0000FFAF",23800
"26191583","WIN WITH WOMEN","Women's Issues","Ideology/Single Issue","Women's issues",84.0130505709625,0,"#0000ADAF","#0000FFAF",30650
"8328","OPTOMETRIC PHYSICIANS OF WASHINGTON","Health Professionals","Health","Optometrists & ophthalmologists",58.636073932441,40.9815168897387,"#000029AF","#00002EAF",78450
"9427","WASHINGTON REFUSE & RECYCLING ASSOCIATION","Waste Management","Energy & Natural Resources","Waste management",46.5909090909091,53.4090909090909,"#140000AF","#140000AF",44000
"16991","WASHINGTON RETAIL ASSOCIATION","Retail Sales","General Business","Retail trade",0,100,"#FF0000AF","#FF0000AF",18150
"8603","PUBLIC SCHOOL EMPLOYEES OF WASHINGTON LOCAL 1948","Public Sector Unions","Labor","State & local government employee unions",57.8313253012048,39.7590361445783,"#000024AF","#000033AF",41500
"15378","RAYONIER INC","Forestry & Forest Products","Agriculture","Timber companies, sawmills, & others engaged in cutting down trees",61.5384615384615,38.4615384615385,"#000038AF","#000038AF",13000
"16986","WASHINGTON INDIAN GAMING ASSOCIATION","Gambling & Casinos","General Business","Indian gaming",83.2449628844114,12.5132555673383,"#0000A8AF","#0000BDAF",47150
"19181","WASHINGTON FEDERATION OF STATE EMPLOYEES COUNCIL 28","Public Sector Unions","Labor","State & local government employee unions",87.1955028107433,7.80762023735165,"#0000BDAF","#0000D6AF",80050
"19540","WASHINGTON STATE COUNCIL OF FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",60.3503184713376,36.624203821656,"#000033AF","#000042AF",31400
"21266242","WASHINGTON ALLIANCE FOR GUN RESPONSIBILITY","Gun Control","Ideology/Single Issue","Pro-gun control",100,0,"#0000FFAF","#0000FFAF",31000
"1269570","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES / IUPAT","General Trade Unions","Labor","Construction unions",92.5233644859813,0,"#0000D6AF","#0000FFAF",26750
"2610561","PIERCE COUNTY FIRE FIGHTERS LOCAL 726","Public Sector Unions","Labor","Police & fire fighters unions and associations",32.6923076923077,9.61538461538462,"#5C0000AF","#0000CCAF",10400
"16244204","LINDA MITCHELL PAC","Candidate Committees","Candidate Contributions","Candidate committees",83.9285714285714,0,"#0000A8AF","#0000FFAF",14000
"281","AVISTA CORP","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",33.1550802139037,66.8449197860963,"#570000AF","#570000AF",65450
