"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4957","WISCONSIN REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",35965.89
"39826822","ADCC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",4242.83
"10121","ASSEMBLY DEMOCRATIC CAMPAIGN CMTE OF WISCONSIN","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",7037.94
"6553","DEMOCRATIC PARTY OF DANE COUNTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2250
"3896562","REPUBLICAN PARTY OF DANE COUNTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",4500
"3250053","EAU CLAIRE COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1100
"9529","WISCONSIN INSTITUTE OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",7.69230769230769,92.3076923076923,"#DB0000AF","#DB0000AF",3900
"20272","WISCONSIN EDUCATION ASSOCIATION COUNCIL","Public Sector Unions","Labor","Teachers unions",44.1462122549885,55.8537877450115,"#1F0000AF","#1F0000AF",5663
"9535","WISCONSIN STATE TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",11.1940298507463,88.8059701492537,"#C70000AF","#C70000AF",1340
"1909","NORTHWESTERN MUTUAL LIFE INSURANCE","Insurance","Finance, Insurance & Real Estate","Life insurance",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",5250
"3069","MILLER BREWING CO","Beer, Wine & Liquor","General Business","Beer",8.33333333333333,91.6666666666667,"#D60000AF","#D60000AF",3000
"4459","WISCONSIN REALTORS ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Real estate",7.96812749003984,92.0318725099602,"#DB0000AF","#DB0000AF",12550
"9520","WISCONSIN BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",3.125,96.875,"#F00000AF","#F00000AF",16000
"9530","WISCONSIN ASSOCIATION OF INSURANCE & FINANCIAL ADVISORS","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",3.2258064516129,96.7741935483871,"#F00000AF","#F00000AF",9300
"9532","WISCONSIN MEDICAL SOCIETY","Health Professionals","Health","Physicians",15.7068062827225,84.2931937172775,"#B30000AF","#B30000AF",9550
"994648","AMERICAN MEDICAL SECURITY","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",0,100,"#FF0000AF","#FF0000AF",6350
"2929383","GLENN S GROTHMAN CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",1500
"2931869","FRIENDS OF JEFF STONE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",500
"2933199","FRIENDS OF STEVE NASS","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",1000
"3224606","CITIZENS FOR DAN VRAKAS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",2000
"3304201","MONTGOMERY FOR ASSEMBLY","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",2500
"3333821","FITZGERALD FOR STATE ASSEMBLY","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",1000
"3335691","CITIZENS FOR MARK GUNDRUM","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",600
"3590301","FRIENDS OF RICHARD SKINDRUD","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",1000
"19185","AFSCME WISCONSIN COUNCILS 40 & 48","Public Sector Unions","Labor","State & local government employee unions",79.4871794871795,20.5128205128205,"#000094AF","#000094AF",1950
"2697006","WEST CENTRAL EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",50,50,"#000000AF","#000000AF",1000
"2832444","KENOSHA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",1000
"4062195","FRIENDS OF HUBER","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",1000
"3345398","SOUTHERN LAKES UNITED EDUCATORS","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",1000
"2933186","FRIENDS OF MIKE HUEBSCH","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",500
"4756","WASTE MANAGEMENT","Waste Management","Energy & Natural Resources","Waste management",0,100,"#FF0000AF","#FF0000AF",2500
"9534","WISCONSIN RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",2.01342281879195,97.9865771812081,"#F50000AF","#F50000AF",7450
"4625642","NORTHWESTERN MUTUAL LIFE","Insurance","Finance, Insurance & Real Estate","Life insurance",0,100,"#FF0000AF","#FF0000AF",4250
"1084","GENERAL ELECTRIC","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",15.1515151515152,84.8484848484848,"#B30000AF","#B30000AF",3300
"9536","WISCONSIN BEER DISTRIBUTORS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",26.3157894736842,73.6842105263158,"#7A0000AF","#7A0000AF",3800
"20856","WISCONSIN STATE COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",35.7142857142857,64.2857142857143,"#4D0000AF","#4D0000AF",3500
"3163147","PLUMBERS & GASFITTERS LOCAL 75","General Trade Unions","Labor","Construction unions",68.1818181818182,31.8181818181818,"#00005CAF","#00005CAF",2200
"40619705","LAWYERS ACTIVE IN WISCONSIN","Uncoded","Uncoded","Uncoded",63.1578947368421,36.8421052631579,"#000042AF","#000042AF",1900
"2034","PFIZER","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",9.63855421686747,90.3614457831325,"#D10000AF","#D10000AF",4150
"21060","ASSOCIATED BUILDERS & CONTRACTORS OF WISCONSIN","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",5000
"5524","WISCONSIN CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",7.40740740740741,92.5925925925926,"#DB0000AF","#DB0000AF",6750
"9518","WISCONSIN ELECTRIC COOPERATIVE ASSOCIATION","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",7.14285714285714,92.8571428571429,"#DB0000AF","#DB0000AF",3500
"9519","WISCONSIN AUTOMOBILE & TRUCK DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",25.4901960784314,74.5098039215686,"#800000AF","#800000AF",5100
"2607","THRIVENT FINANCIAL FOR LUTHERANS","Securities & Investment","Finance, Insurance & Real Estate","Securities, commodities & investment",28.2352941176471,71.7647058823529,"#700000AF","#700000AF",4250
"16356","TAVERN LEAGUE OF WISCONSIN","Beer, Wine & Liquor","General Business","Alcohol",16.4948453608247,83.5051546391753,"#AD0000AF","#AD0000AF",4850
"2818","WELLS FARGO","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",0,100,"#FF0000AF","#FF0000AF",3900
