"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"7531718","OPERATING ENGINEERS LOCAL 132","General Trade Unions","Labor","Construction unions",95.4819277108434,4.51807228915663,"#0000E5AF","#0000E5AF",33200
"9468","WEST VIRGINIA BUILDING & CONSTRUCTION TRADES COUNCIL","General Trade Unions","Labor","Construction unions",93.859649122807,6.14035087719298,"#0000DBAF","#0000DBAF",114000
"4201","OPERATING ENGINEERS UNIDENTIFIED","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",7429.35
"19259","WEST VIRGINIA FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",96.2039660056657,3.79603399433428,"#0000EBAF","#0000EBAF",88250
"20116","WEST VIRGINIA APPALACHIAN LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",93.5985368084133,6.40146319158665,"#0000DBAF","#0000DBAF",109350
"20813","MID-ATLANTIC REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",80.7692307692308,19.2307692307692,"#000099AF","#000099AF",6500
"9481","WEST VIRGINIA ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",95.7236842105263,4.27631578947368,"#0000E5AF","#0000E5AF",76000
"20271","WEST VIRGINIA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",95.6521739130435,4.34782608695652,"#0000E5AF","#0000E5AF",63250
"20853","WEST VIRGINIA REGIONAL COUNCIL OF CARPENTERS & MILLWRIGHTS","General Trade Unions","Labor","Construction unions",96.5773809523809,3.42261904761905,"#0000EBAF","#0000EBAF",100800
"20175","WEST VIRGINIA AFL-CIO","General Trade Unions","Labor","Labor unions",95.3781512605042,4.6218487394958,"#0000E5AF","#0000E5AF",59500
"9476","WEST VIRGINIA STATE MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",65.4427645788337,34.5572354211663,"#00004DAF","#00004DAF",23150
"21665","TEAMSTERS UNIDENTIFIED","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",3000
"9475","WEST VIRGINIA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",72.8251121076233,27.1748878923767,"#000070AF","#000070AF",55750
"735","CSX TRANSPORTATION","Railroads","Energy & Natural Resources","Railroads",95.4545454545455,4.54545454545455,"#0000E5AF","#0000E5AF",5500
"20567","PLUMBERS & PIPEFITTERS LOCAL 152","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",9500
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",18500
"14612","NORTH CENTRAL WEST VIRGINIA BUILDING & CONSTRUCTION TRADES COUNCIL","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",14000
"19415","IRONWORKERS LOCAL 549","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",17500
"20295","PARKERSBURG-MARIETTA BUILDING & CONSTRUCTION TRADES COUNCIL","General Trade Unions","Labor","Construction unions",90.3846153846154,9.61538461538462,"#0000CCAF","#0000CCAF",5200
