"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"20116","WEST VIRGINIA APPALACHIAN LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",97.9591836734694,2.04081632653061,"#0000F0AF","#0000F0AF",49000
"13492136","WILD & WONDERFUL","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",31500
"9468","WEST VIRGINIA BUILDING & CONSTRUCTION TRADES COUNCIL","General Trade Unions","Labor","Construction unions",98.0676328502416,1.93236714975845,"#0000F5AF","#0000F5AF",51750
"20175","WEST VIRGINIA AFL-CIO","General Trade Unions","Labor","Labor unions",98.5972684889832,1.40273151101677,"#0000F5AF","#0000F5AF",35644.74
"6257","WEST VIRGINIA CHIROPRACTIC SOCIETY","Health Professionals","Health","Chiropractors",74.025974025974,25.974025974026,"#00007AAF","#00007AAF",7700
"9481","WEST VIRGINIA ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",51750
"18811","WEST VIRGINIA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",71.5909090909091,28.4090909090909,"#00006BAF","#00006BAF",22000
"19259","WEST VIRGINIA FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",36000
"20853","WEST VIRGINIA REGIONAL COUNCIL OF CARPENTERS & MILLWRIGHTS","General Trade Unions","Labor","Construction unions",98.9059080962801,1.09409190371991,"#0000F5AF","#0000F5AF",45700
"3412","COCA-COLA","Food & Beverage","General Business","Beverages (non-alcoholic)",30.379746835443,69.620253164557,"#660000AF","#660000AF",19750
"16369920","SHELLEY MOORE CAPITO CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",10000
"9465","WEST VIRGINIA AUTOMOBILE & TRUCK DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",15.0259067357513,84.9740932642487,"#B30000AF","#B30000AF",38600
"9475","WEST VIRGINIA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",31.8529862174579,68.1470137825421,"#610000AF","#610000AF",32650
"9907","ALLIANCE COAL","Mining","Energy & Natural Resources","Coal mining",0,100,"#FF0000AF","#FF0000AF",4400
"17320","WEST VIRGINIA CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",16.0839160839161,83.9160839160839,"#AD0000AF","#AD0000AF",35750
"3479","DOMINION","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",53.3333333333333,46.6666666666667,"#00000FAF","#00000FAF",22500
"17068","WEST VIRGINIA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",49.2563429571304,50.7436570428696,"#050000AF","#050000AF",28575
"7531718","OPERATING ENGINEERS LOCAL 132","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",45000
"16018679","SENATE LEADERSHIP COUNCIL","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",11000
"130","AMERICAN ELECTRIC POWER","Electric Utilities","Energy & Natural Resources","Electric power utilities",45.3551912568306,54.6448087431694,"#1A0000AF","#1A0000AF",45750
"9466","WEST VIRGINIA BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",45.3681710213777,54.6318289786223,"#1A0000AF","#1A0000AF",42100
"29329707","AEP","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",3000
"1625","MARATHON OIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",37.1428571428571,62.8571428571429,"#420000AF","#420000AF",17500
"6432","CONTRACTORS ASSOCIATION OF WEST VIRGINIA","General Contractors","Construction","Builders associations",59.0163934426229,40.9836065573771,"#00002EAF","#00002EAF",30500
"12728293","CLIFFS WEST VIRGINIA PAC","Uncoded","Uncoded","Uncoded",92.3076923076923,7.69230769230769,"#0000D6AF","#0000D6AF",3250
"7485748","BERKELEY COUNTY EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",3500
"10678785","UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA / UAW","Transportation Unions","Labor","Automotive unions",100,0,"#0000FFAF","#0000FFAF",3500
"12525","GOPAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",4994.75
"1739","UNITED MINE WORKERS OF AMERICA / UMWA","General Trade Unions","Labor","Mining unions",97.588424437299,2.41157556270096,"#0000F0AF","#0000F0AF",31100
"20271","WEST VIRGINIA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",32900
"15741061","MONONGALIA PRESTON CENTRAL LABOR COUNCIL","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",4000
"9476","WEST VIRGINIA STATE MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",42.3076923076923,57.6923076923077,"#290000AF","#290000AF",13000
"8331868","SMART","General Trade Unions","Labor","Other unions",100,0,"#0000FFAF","#0000FFAF",10500
"1702","MERCK & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",25,75,"#800000AF","#800000AF",12000
"9924","ALPHA NATURAL RESOURCES","Mining","Energy & Natural Resources","Coal mining",50,50,"#000000AF","#000000AF",19000
"4723897","MARKWEST ENERGY PARTNERS","Electric Utilities","Energy & Natural Resources","Electric power utilities",85.7142857142857,14.2857142857143,"#0000B3AF","#0000B3AF",3500
"7540792","LAIRD FOR SENATE CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",1700
"9472","WEST VIRGINIA FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",35.2040816326531,64.7959183673469,"#4D0000AF","#4D0000AF",9800
"24796083","WEST VIRGINIA SCHOOL SERVICE PERSONNEL ASSOCIATION","Education","Government Agencies/Education/Other","Schools & colleges",100,0,"#0000FFAF","#0000FFAF",21500
"914","ENTERPRISE HOLDINGS","Automotive","Transportation","Car & truck rental agencies",55.1724137931034,44.8275862068966,"#00001AAF","#00001AAF",14500
"2472","STEPTOE & JOHNSON","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",53.0516431924883,46.9483568075117,"#00000FAF","#00000FAF",21300
"9470","WEST VIRGINIA COAL ASSOCIATION","Mining","Energy & Natural Resources","Coal mining",27.1578947368421,72.8421052631579,"#750000AF","#750000AF",11875
"16369977","MCKINLEY FOR CONGRESS","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",7750
"735","CSX TRANSPORTATION","Railroads","Energy & Natural Resources","Railroads",52.1739130434783,47.8260869565217,"#00000AAF","#00000AAF",11500
"9480","WEST VIRGINIA STATE FARM AGENTS","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",23.0769230769231,76.9230769230769,"#8A0000AF","#8A0000AF",6500
"20094","MID-ATLANTIC REGIONAL ORGANIZING COALITION OF LABORERS","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",8000
"3705455","ELECTRICAL WORKERS UNIDENTIFIED","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",5500
"7506383","ROMAN PREZIOSO CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",32575.65
"95","ALLSTATE INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",2250
"9471","WEST VIRGINIA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",60.4113110539846,39.5886889460154,"#000033AF","#000033AF",19450
"10289","BRANCH BANKING & TRUST CORP","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",51.219512195122,48.780487804878,"#000005AF","#000005AF",4100
"7535346","PATRIOT COAL CORPORATION","Mining","Energy & Natural Resources","Coal mining",16,84,"#AD0000AF","#AD0000AF",12500
"3728","FIRSTENERGY CORP","Electric Utilities","Energy & Natural Resources","Electric power utilities",33.8983050847458,66.1016949152542,"#570000AF","#570000AF",29500
"7576548","WV FOR COAL","Mining","Energy & Natural Resources","Coal mining",0,100,"#FF0000AF","#FF0000AF",1800
"7527798","AMERICAN MEDICAL FACILITIES MANAGEMENT","Hospitals & Nursing Homes","Health","Nursing homes",18.5185185185185,81.4814814814815,"#A30000AF","#A30000AF",6750
