"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"20179","WYOMING AFL-CIO","General Trade Unions","Labor","Labor unions",91.3793103448276,8.62068965517241,"#0000D1AF","#0000D1AF",5800
"9564","WYOMING ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",23.015873015873,76.984126984127,"#8A0000AF","#8A0000AF",31500
"2633","UNITED TRANSPORTATION UNION / UTU","Transportation Unions","Labor","Railroad unions",90,10,"#0000CCAF","#0000CCAF",5000
"20273","WYOMING EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",50.2579979360165,49.7420020639835,"#000000AF","#000000AF",14535
"9560","WYOMING MEDICAL SOCIETY","Health Professionals","Health","Physicians",25.1870324189526,74.8129675810474,"#800000AF","#800000AF",10025
"21140","BROTHERHOOD OF LOCOMOTIVE ENGINEERS & TRAINMEN / BLET","Transportation Unions","Labor","Railroad unions",91.5067096993375,8.49329030066248,"#0000D1AF","#0000D1AF",5887
"9566","WYOMING TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",79.6610169491525,20.3389830508475,"#000094AF","#000094AF",8850
"2675","UNION PACIFIC RAILROAD","Railroads","Energy & Natural Resources","Railroads",18.75,81.25,"#A30000AF","#A30000AF",8000
"95","ALLSTATE INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",1500
"8010","NATRONA COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2000
"4963","WYOMING DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",6900
"4961","WYOMING REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",11300
"9558","ASSOCIATED GENERAL CONTRACTORS OF WYOMING","General Contractors","Construction","Builders associations",14.8148148148148,85.1851851851852,"#B80000AF","#B80000AF",6750
"2034","PFIZER","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",13.3333333333333,86.6666666666667,"#BD0000AF","#BD0000AF",3750
"5714","ALBANY COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1250
"10196679","LAWYERS ACTIVE IN WYOMING","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",69.5652173913043,30.4347826086957,"#000061AF","#000061AF",2300
"3765756","MONTANA SMART TRANSPORTATION UNION","Transportation Unions","Labor","Railroad unions",90.625,9.375,"#0000CCAF","#0000CCAF",3200
"26357207","WEA","Uncoded","Uncoded","Uncoded",71.4285714285714,28.5714285714286,"#00006BAF","#00006BAF",1400
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",15.3846153846154,84.6153846153846,"#B30000AF","#B30000AF",3250
"20463","WYOMING PUBLIC EMPLOYEES ASSOCIATION","Public Sector Unions","Labor","State & local government employee unions",57.7777777777778,42.2222222222222,"#000024AF","#000024AF",2250
"9565","WYOMING STOCK GROWERS ASSOCIATION","Livestock","Agriculture","Livestock",23.5294117647059,76.4705882352941,"#8A0000AF","#8A0000AF",3400
"28299352","WEA PACE","Uncoded","Uncoded","Uncoded",75.6756756756757,24.3243243243243,"#00007FAF","#00007FAF",3700
"3250","BP NORTH AMERICA","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",22.7848101265823,77.2151898734177,"#8F0000AF","#8F0000AF",3950
"9567","WYOMING TRUCKING ASSOCIATION","Trucking","Transportation","Trucking",8.26446280991736,91.7355371900827,"#D60000AF","#D60000AF",6050
"5743","WYOMING RURAL ELECTRIC ASSOCIATION","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",25.3164556962025,74.6835443037975,"#800000AF","#800000AF",3950
"372","BLACK HILLS CORP","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",26.1538461538462,73.8461538461539,"#7A0000AF","#7A0000AF",6500
"29334458","WYOMING PUBLIC EMPLOYEES ASSOCIATION","Uncoded","Uncoded","Uncoded",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",750
"28206520","LAWPAC","Uncoded","Uncoded","Uncoded",92,8,"#0000D6AF","#0000D6AF",1250
"8621","QUESTAR","Oil & Gas","Energy & Natural Resources","Natural gas transmission & distribution",25.2380952380952,74.7619047619048,"#800000AF","#800000AF",10500
"10162239","HOUSE REPUBLICAN CONFERENCE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",600
"10154476","WYOMING REPUBLICAN HOUSE & SENATE CONFERENCE CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3500
"946","EXXON MOBIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",10.3896103896104,89.6103896103896,"#CC0000AF","#CC0000AF",3850
"2904","WYETH PHARMACEUTICALS","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",800
"198","ANADARKO PETROLEUM","Oil & Gas","Energy & Natural Resources","Oil & gas",15.3846153846154,84.6153846153846,"#B30000AF","#B30000AF",4550
"435","BNSF RAILWAY","Railroads","Energy & Natural Resources","Railroads",9.30232558139535,90.6976744186046,"#D10000AF","#D10000AF",4300
"2695","ALTRIA","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",0,100,"#FF0000AF","#FF0000AF",1400
"3316288","LOCOMOTIVE ENGINEERS & TRAINMEN UNIDENTIFIED","Transportation Unions","Labor","Railroad unions",100,0,"#0000FFAF","#0000FFAF",988
"1625","MARATHON OIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",0,100,"#FF0000AF","#FF0000AF",600
"2400","SINCLAIR OIL","Oil & Gas","Energy & Natural Resources","Oil & gas",50,50,"#000000AF","#000000AF",600
"2147","QWEST COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",15.5172413793103,84.4827586206897,"#B30000AF","#B30000AF",5800
"566","CHEVRON CORP","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",10.0917431192661,89.9082568807339,"#CC0000AF","#CC0000AF",5450
"1687","MONTANA DAKOTA UTILITIES","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",12.1212121212121,87.8787878787879,"#C20000AF","#C20000AF",3300
"10162054","WYOMING CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",0,100,"#FF0000AF","#FF0000AF",700
"788","DEVON ENERGY","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",2250
"8451","COLORADO WYOMING PETROLEUM MARKETERS ASSOCIATION","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",13.7931034482759,86.2068965517241,"#BD0000AF","#BD0000AF",4350
"10142646","WYOMING DENTAL ASSOCIATION","Health Professionals","Health","Dentists",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",1750
"5527","CREDIT UNION ASSOCIATION OF WYOMING","Credit Unions","Finance, Insurance & Real Estate","Credit unions",25,75,"#800000AF","#800000AF",1000
"226","ARCH COAL","Mining","Energy & Natural Resources","Coal mining",8.33333333333333,91.6666666666667,"#D60000AF","#D60000AF",2400
